rule_id,rule_name,crop,state,soil_type,farmer_category,land_min,land_max,income_limit,aadhaar_required,recommended_scheme,recommended_loan,recommended_insurance,priority
RULE0096,Subsidy & Credit Pathway for Medium Farmer in Karnataka,Pulses,Karnataka,Laterite Soil,Medium Farmer,2.11,5.16,500000,No,Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,6.2
RULE0097,Loan Eligibility Check for Women Farmer Cultivating Paddy,Paddy,All India,Loamy Soil,Women Farmer,0.62,3.92,,Yes,Mission Kakatiya (Tank Restoration for Irrigation),Agri Infrastructure & Cold Storage Loan,Horticulture Crop Insurance Scheme,5.4
RULE0098,Small Holding Advisory Rule for Large Farmer Growing Horticulture Crops (Rule Variant 2),Horticulture Crops,Karnataka,Clay Soil,Large Farmer,5.43,10.91,500000,Yes,Telangana Farm Mechanization Scheme,Horticulture & Plantation Loan,Livestock Insurance Scheme,5.2
RULE0099,Government Scheme Trigger for Cotton Cultivation in Telangana (Rule Variant 2),Cotton,Telangana,Red Soil,Sharecropper,0.6,2.84,250000,Yes,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Solar Pump / Renewable Energy Agri Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),9.8
RULE0100,Irrigation-Linked Scheme Match for Groundnut on Alluvial Soil,Groundnut,Andhra Pradesh,Alluvial Soil,Tenant Farmer,0.53,3.44,200000,Yes,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Micro Irrigation / Drip & Sprinkler Loan,Private Comprehensive Crop Insurance Plan,5.4
RULE0101,Insurance Recommendation for Banana under Loamy Soil Conditions (Rule Variant 2),Banana,Maharashtra,Loamy Soil,Small Farmer,1.23,2.14,250000,No,Telangana Horticulture Mission,Gold Loan for Agricultural Purposes,Horticulture Crop Insurance Scheme,7.7
RULE0102,Insurance Recommendation for Oilseeds under Saline / Alkaline Soil Conditions,Oilseeds,All India,Saline / Alkaline Soil,Tenant Farmer,0.6,2.72,300000,Yes,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Crop Loan (Seasonal Agricultural Operations),Livestock Insurance Scheme,9.4
RULE0103,Government Scheme Trigger for Soybean Cultivation in Maharashtra (Rule Variant 2),Soybean,Maharashtra,Clay Soil,Large Farmer,5.15,10.54,250000,Yes,Rashtriya Krishi Vikas Yojana (RKVY),Fisheries & Aquaculture Loan,Private Comprehensive Crop Insurance Plan,8.0
RULE0104,Insurance Recommendation for Paddy under Red Soil Conditions,Paddy,Karnataka,Red Soil,Sharecropper,0.57,2.89,100000,No,Pradhan Mantri Matsya Sampada Yojana (PMMSY),Agri Infrastructure & Cold Storage Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,9.3
RULE0105,Loan Eligibility Check for Small Farmer Cultivating Sugarcane,Sugarcane,Andhra Pradesh,Laterite Soil,Small Farmer,1.31,2.84,150000,Yes,National Mission on Natural Farming (NMNF),Fisheries & Aquaculture Loan,Livestock Insurance Scheme,6.5
RULE0106,Small Holding Advisory Rule for FPO Member Farmer Growing Soybean,Soybean,Karnataka,Black Soil (Regur),FPO Member Farmer,0.21,10.82,,Yes,Mission for Integrated Development of Horticulture (MIDH),Micro Irrigation / Drip & Sprinkler Loan,Livestock Insurance Scheme,8.4
RULE0107,Subsidy & Credit Pathway for Large Farmer in Maharashtra,Turmeric,Maharashtra,Red Soil,Large Farmer,5.44,10.17,500000,Yes,Sub-Mission on Agricultural Mechanization (SMAM),Warehouse Receipt / Post-Harvest Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),6.4
RULE0108,Risk Cover Advisory for FPO Member Farmer on Laterite Soil,Mango,All India,Laterite Soil,FPO Member Farmer,0.38,10.01,250000,Yes,Mission Kakatiya (Tank Restoration for Irrigation),Dairy & Livestock Development Loan,Livestock Insurance Scheme,7.2
RULE0109,Subsidy & Credit Pathway for Marginal Farmer in All India,Millets (Jowar/Bajra),All India,Sandy Soil,Marginal Farmer,0.49,1.88,100000,Yes,Pradhan Mantri Fasal Bima Yojana (PMFBY),Warehouse Receipt / Post-Harvest Loan,Horticulture Crop Insurance Scheme,9.2
RULE0110,Risk Cover Advisory for Large Farmer on Red Soil,Groundnut,Maharashtra,Red Soil,Large Farmer,5.41,10.02,250000,Yes,Sub-Mission on Agricultural Mechanization (SMAM),Farm Mechanization / Tractor Loan,Private Comprehensive Crop Insurance Plan,9.3
RULE0111,Loan Eligibility Check for Marginal Farmer Cultivating Oilseeds,Oilseeds,Karnataka,Black Soil (Regur),Marginal Farmer,0.12,1.95,300000,Yes,Rythu Bima Life Insurance Scheme,Solar Pump / Renewable Energy Agri Loan,Horticulture Crop Insurance Scheme,5.9
RULE0112,Irrigation-Linked Scheme Match for Banana on Red Soil,Banana,Maharashtra,Red Soil,Marginal Farmer,0.11,1.63,250000,Yes,Rythu Bima Life Insurance Scheme,Gold Loan for Agricultural Purposes,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,7.7
RULE0113,Risk Cover Advisory for Medium Farmer on Sandy Soil,Chilli,Andhra Pradesh,Sandy Soil,Medium Farmer,2.01,5.85,150000,Yes,Telangana Farm Mechanization Scheme,Farmer Producer Organisation (FPO) Term Loan,Horticulture Crop Insurance Scheme,9.2
RULE0114,Loan Eligibility Check for Women Farmer Cultivating Red Gram (Tur Dal),Red Gram (Tur Dal),Andhra Pradesh,Saline / Alkaline Soil,Women Farmer,0.94,3.37,300000,Yes,Micro Irrigation Fund (MIF),Farmer Producer Organisation (FPO) Term Loan,Livestock Insurance Scheme,5.2
RULE0115,Subsidy & Credit Pathway for Large Farmer in Maharashtra (Rule Variant 2),All Crops,Maharashtra,Saline / Alkaline Soil,Large Farmer,5.43,10.12,250000,Yes,PM Kusum Scheme (Solar Pump & Grid Connected Plants),Crop Loan (Seasonal Agricultural Operations),Restructured Weather Based Crop Insurance Scheme (RWBCIS),6.0
RULE0116,Irrigation-Linked Scheme Match for Soybean on Laterite Soil,Soybean,Karnataka,Laterite Soil,Medium Farmer,2.21,5.75,300000,Yes,Telangana Micro Irrigation Project Subsidy,Crop Loan (Seasonal Agricultural Operations),Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,6.6
RULE0117,Small Holding Advisory Rule for Marginal Farmer Growing Sugarcane,Sugarcane,Maharashtra,Red Soil,Marginal Farmer,0.33,1.41,500000,No,Telangana Micro Irrigation Project Subsidy,Warehouse Receipt / Post-Harvest Loan,Private Comprehensive Crop Insurance Plan,6.6
RULE0118,Insurance Recommendation for Grapes under Clay Soil Conditions,Grapes,Maharashtra,Clay Soil,Medium Farmer,2.47,5.92,300000,Yes,Paramparagat Krishi Vikas Yojana (PKVY),Agri Infrastructure & Cold Storage Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,8.5
RULE0119,Subsidy & Credit Pathway for Small Farmer in Maharashtra,Paddy,Maharashtra,Alluvial Soil,Small Farmer,1.16,2.37,500000,Yes,National Food Security Mission (NFSM),Micro Irrigation / Drip & Sprinkler Loan,Private Comprehensive Crop Insurance Plan,5.8
RULE0120,Irrigation-Linked Scheme Match for Vegetables on Black Soil (Regur),Vegetables,Karnataka,Black Soil (Regur),Tenant Farmer,0.64,2.53,,Yes,PM Kusum Scheme (Solar Pump & Grid Connected Plants),Agri Infrastructure & Cold Storage Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,9.7
RULE0121,Risk Cover Advisory for Marginal Farmer on Laterite Soil,Maize,Karnataka,Laterite Soil,Marginal Farmer,0.26,1.13,150000,No,Telangana Farm Mechanization Scheme,Horticulture & Plantation Loan,Horticulture Crop Insurance Scheme,8.1
RULE0122,Government Scheme Trigger for Oilseeds Cultivation in Andhra Pradesh (Rule Variant 3),Oilseeds,Andhra Pradesh,Laterite Soil,Sharecropper,0.62,2.17,150000,Yes,Rythu Bandhu Investment Support Scheme,Kisan Credit Card (KCC),Horticulture Crop Insurance Scheme,6.4
RULE0123,Small Holding Advisory Rule for Medium Farmer Growing Cotton,Cotton,Andhra Pradesh,Saline / Alkaline Soil,Medium Farmer,2.35,5.37,500000,Yes,PM Kusum Scheme (Solar Pump & Grid Connected Plants),Gold Loan for Agricultural Purposes,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,5.6
RULE0124,Subsidy & Credit Pathway for Tenant Farmer in Andhra Pradesh,Pulses,Andhra Pradesh,Loamy Soil,Tenant Farmer,0.76,2.83,300000,Yes,Mission for Integrated Development of Horticulture (MIDH),Farmer Producer Organisation (FPO) Term Loan,Horticulture Crop Insurance Scheme,8.5
RULE0125,Risk Cover Advisory for Women Farmer on Laterite Soil,Oilseeds,Karnataka,Laterite Soil,Women Farmer,0.88,3.35,300000,Yes,PM Kusum Scheme (Solar Pump & Grid Connected Plants),Farmer Producer Organisation (FPO) Term Loan,Livestock Insurance Scheme,9.3
RULE0126,Insurance Recommendation for Pulses under Red Soil Conditions,Pulses,Karnataka,Red Soil,FPO Member Farmer,0.27,10.29,200000,Yes,Micro Irrigation Fund (MIF),Crop Loan (Seasonal Agricultural Operations),Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,5.9
RULE0127,Loan Eligibility Check for Women Farmer Cultivating Vegetables,Vegetables,All India,Alluvial Soil,Women Farmer,0.82,3.66,100000,Yes,National Livestock Mission,Crop Loan (Seasonal Agricultural Operations),Livestock Insurance Scheme,5.3
RULE0128,Subsidy & Credit Pathway for Marginal Farmer in Andhra Pradesh,Grapes,Andhra Pradesh,Laterite Soil,Marginal Farmer,0.26,1.18,300000,Yes,Telangana Farm Mechanization Scheme,Farm Mechanization / Tractor Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,6.2
RULE0129,Government Scheme Trigger for Cotton Cultivation in Karnataka,Cotton,Karnataka,Laterite Soil,Sharecropper,0.67,2.32,100000,Yes,Mission for Integrated Development of Horticulture (MIDH),Solar Pump / Renewable Energy Agri Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,9.1
RULE0130,Loan Eligibility Check for Marginal Farmer Cultivating All Crops,All Crops,Telangana,Red Soil,Marginal Farmer,0.18,1.68,500000,Yes,Rythu Bima Life Insurance Scheme,Horticulture & Plantation Loan,Livestock Insurance Scheme,5.3
RULE0131,Government Scheme Trigger for Soybean Cultivation in Telangana,Soybean,Telangana,Alluvial Soil,Marginal Farmer,0.38,1.9,100000,Yes,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Micro Irrigation / Drip & Sprinkler Loan,Private Comprehensive Crop Insurance Plan,5.3
RULE0132,Irrigation-Linked Scheme Match for Grapes on Saline / Alkaline Soil,Grapes,Karnataka,Saline / Alkaline Soil,Sharecropper,0.99,2.13,200000,Yes,Mission for Integrated Development of Horticulture (MIDH),Crop Loan (Seasonal Agricultural Operations),Private Comprehensive Crop Insurance Plan,9.6
RULE0133,Small Holding Advisory Rule for FPO Member Farmer Growing Chickpea (Gram),Chickpea (Gram),Karnataka,Laterite Soil,FPO Member Farmer,0.18,10.35,300000,Yes,"Formation and Promotion of 10,000 FPOs Scheme",Agri Infrastructure & Cold Storage Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,7.3
RULE0134,Risk Cover Advisory for Women Farmer on Loamy Soil,Sugarcane,Karnataka,Loamy Soil,Women Farmer,0.91,3.93,250000,Yes,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Farm Mechanization / Tractor Loan,Livestock Insurance Scheme,7.0
RULE0135,Small Holding Advisory Rule for Tenant Farmer Growing Mango,Mango,Maharashtra,Sandy Soil,Tenant Farmer,0.96,3.01,100000,Yes,National Mission on Natural Farming (NMNF),Fisheries & Aquaculture Loan,Livestock Insurance Scheme,5.4
RULE0136,Subsidy & Credit Pathway for Small Farmer in Andhra Pradesh,Wheat,Andhra Pradesh,Laterite Soil,Small Farmer,1.35,2.34,500000,No,National Livestock Mission,Agri Infrastructure & Cold Storage Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,7.4
RULE0137,Priority Scheme Match for Chilli Growers on Loamy Soil in Maharashtra,Chilli,Maharashtra,Loamy Soil,Marginal Farmer,0.23,1.31,200000,Yes,National Mission on Natural Farming (NMNF),Farm Mechanization / Tractor Loan,Horticulture Crop Insurance Scheme,8.2
RULE0138,Small Holding Advisory Rule for Small Farmer Growing Groundnut,Groundnut,Telangana,Alluvial Soil,Small Farmer,1.48,2.33,100000,Yes,"Formation and Promotion of 10,000 FPOs Scheme",Farmer Producer Organisation (FPO) Term Loan,Horticulture Crop Insurance Scheme,9.5
RULE0139,Insurance Recommendation for Oilseeds under Sandy Soil Conditions,Oilseeds,Telangana,Sandy Soil,Tenant Farmer,0.88,2.88,250000,Yes,Telangana Millet Mission,Kisan Credit Card (KCC),Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,5.6
RULE0140,Insurance Recommendation for All Crops under Black Soil (Regur) Conditions,All Crops,Maharashtra,Black Soil (Regur),Large Farmer,5.19,10.93,250000,Yes,National Mission on Natural Farming (NMNF),Horticulture & Plantation Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,6.4
RULE0141,Small Holding Advisory Rule for Medium Farmer Growing Paddy,Paddy,Karnataka,Laterite Soil,Medium Farmer,2.33,5.56,300000,Yes,Telangana Micro Irrigation Project Subsidy,Warehouse Receipt / Post-Harvest Loan,Livestock Insurance Scheme,8.1
RULE0142,Government Scheme Trigger for Sugarcane Cultivation in Karnataka,Sugarcane,Karnataka,Red Soil,Marginal Farmer,0.15,1.2,500000,Yes,National Food Security Mission (NFSM),Warehouse Receipt / Post-Harvest Loan,Horticulture Crop Insurance Scheme,6.9
RULE0143,Subsidy & Credit Pathway for Tenant Farmer in Andhra Pradesh (Rule Variant 2),Groundnut,Andhra Pradesh,Loamy Soil,Tenant Farmer,0.99,2.91,250000,Yes,Telangana Farm Mechanization Scheme,Solar Pump / Renewable Energy Agri Loan,Private Comprehensive Crop Insurance Plan,9.6
RULE0144,Small Holding Advisory Rule for Marginal Farmer Growing Sugarcane (Rule Variant 2),Sugarcane,All India,Laterite Soil,Marginal Farmer,0.34,1.17,500000,Yes,Sub-Mission on Agricultural Mechanization (SMAM),Fisheries & Aquaculture Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,5.3
RULE0145,Insurance Recommendation for Groundnut under Laterite Soil Conditions,Groundnut,Andhra Pradesh,Laterite Soil,Sharecropper,0.55,2.92,100000,Yes,Rythu Bima Life Insurance Scheme,Kisan Credit Card (KCC),Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,8.0
RULE0146,Government Scheme Trigger for Horticulture Crops Cultivation in Andhra Pradesh,Horticulture Crops,Andhra Pradesh,Alluvial Soil,Small Farmer,1.34,2.22,100000,Yes,Pradhan Mantri Fasal Bima Yojana (PMFBY),Crop Loan (Seasonal Agricultural Operations),Livestock Insurance Scheme,8.2
RULE0147,Small Holding Advisory Rule for FPO Member Farmer Growing Soybean (Rule Variant 2),Soybean,Telangana,Clay Soil,FPO Member Farmer,0.17,10.04,300000,Yes,Rythu Bima Life Insurance Scheme,Micro Irrigation / Drip & Sprinkler Loan,Private Comprehensive Crop Insurance Plan,7.7
RULE0148,Small Holding Advisory Rule for Sharecropper Growing Vegetables,Vegetables,All India,Black Soil (Regur),Sharecropper,0.84,2.73,150000,Yes,Pradhan Mantri Matsya Sampada Yojana (PMMSY),Micro Irrigation / Drip & Sprinkler Loan,Private Comprehensive Crop Insurance Plan,6.8
RULE0149,Insurance Recommendation for Groundnut under Clay Soil Conditions,Groundnut,Telangana,Clay Soil,Marginal Farmer,0.49,1.44,200000,Yes,Pradhan Mantri Matsya Sampada Yojana (PMMSY),Fisheries & Aquaculture Loan,Private Comprehensive Crop Insurance Plan,9.9
RULE0150,Risk Cover Advisory for Women Farmer on Clay Soil,Chilli,Maharashtra,Clay Soil,Women Farmer,0.77,3.36,150000,Yes,Telangana Horticulture Mission,Micro Irrigation / Drip & Sprinkler Loan,Private Comprehensive Crop Insurance Plan,9.5
RULE0151,Subsidy & Credit Pathway for FPO Member Farmer in All India,Oilseeds,All India,Sandy Soil,FPO Member Farmer,0.38,10.16,250000,Yes,National Food Security Mission (NFSM),Fisheries & Aquaculture Loan,Horticulture Crop Insurance Scheme,9.1
RULE0152,Irrigation-Linked Scheme Match for All Crops on Sandy Soil,All Crops,Maharashtra,Sandy Soil,Small Farmer,1.16,2.57,150000,Yes,National Food Security Mission (NFSM),Solar Pump / Renewable Energy Agri Loan,Horticulture Crop Insurance Scheme,9.2
RULE0153,Small Holding Advisory Rule for Small Farmer Growing Paddy,Paddy,Maharashtra,Sandy Soil,Small Farmer,1.07,2.41,,No,Telangana Horticulture Mission,Horticulture & Plantation Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,7.6
RULE0154,Irrigation-Linked Scheme Match for Sugarcane on Alluvial Soil,Sugarcane,Andhra Pradesh,Alluvial Soil,Large Farmer,5.24,10.69,500000,Yes,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Farmer Producer Organisation (FPO) Term Loan,Private Comprehensive Crop Insurance Plan,6.6
RULE0155,Small Holding Advisory Rule for Large Farmer Growing Red Gram (Tur Dal),Red Gram (Tur Dal),Karnataka,Saline / Alkaline Soil,Large Farmer,5.46,10.33,300000,No,Telangana Horticulture Mission,Agri Infrastructure & Cold Storage Loan,Livestock Insurance Scheme,7.0
RULE0156,Small Holding Advisory Rule for Small Farmer Growing Soybean,Soybean,All India,Alluvial Soil,Small Farmer,1.25,2.27,250000,Yes,Micro Irrigation Fund (MIF),Dairy & Livestock Development Loan,Horticulture Crop Insurance Scheme,5.4
RULE0157,Priority Scheme Match for Vegetables Growers on Sandy Soil in Telangana,Vegetables,Telangana,Sandy Soil,Medium Farmer,2.29,5.08,,Yes,Mission for Integrated Development of Horticulture (MIDH),Farmer Producer Organisation (FPO) Term Loan,Livestock Insurance Scheme,5.4
RULE0158,Government Scheme Trigger for Turmeric Cultivation in Karnataka,Turmeric,Karnataka,Sandy Soil,Women Farmer,0.54,3.2,500000,Yes,Telangana Micro Irrigation Project Subsidy,Agri Infrastructure & Cold Storage Loan,Livestock Insurance Scheme,9.9
RULE0159,Loan Eligibility Check for Sharecropper Cultivating Banana,Banana,All India,Clay Soil,Sharecropper,0.87,2.48,100000,Yes,Pradhan Mantri Matsya Sampada Yojana (PMMSY),Fisheries & Aquaculture Loan,Private Comprehensive Crop Insurance Plan,7.3
RULE0160,Irrigation-Linked Scheme Match for Vegetables on Black Soil (Regur) (Rule Variant 2),Vegetables,All India,Black Soil (Regur),Sharecropper,0.74,2.99,,Yes,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Gold Loan for Agricultural Purposes,Horticulture Crop Insurance Scheme,5.2
RULE0161,Subsidy & Credit Pathway for Large Farmer in Telangana,Paddy,Telangana,Sandy Soil,Large Farmer,5.27,10.1,250000,No,Pradhan Mantri Fasal Bima Yojana (PMFBY),Agri Infrastructure & Cold Storage Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),8.7
RULE0162,Loan Eligibility Check for Small Farmer Cultivating Maize,Maize,Maharashtra,Loamy Soil,Small Farmer,1.46,2.44,100000,Yes,Mission for Integrated Development of Horticulture (MIDH),Agri Infrastructure & Cold Storage Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,8.7
RULE0163,Subsidy & Credit Pathway for Small Farmer in Telangana (Rule Variant 2),Chilli,Telangana,Sandy Soil,Small Farmer,1.16,2.29,500000,Yes,Paramparagat Krishi Vikas Yojana (PKVY),Fisheries & Aquaculture Loan,Private Comprehensive Crop Insurance Plan,6.7
RULE0164,Loan Eligibility Check for Large Farmer Cultivating Mango,Mango,Maharashtra,Clay Soil,Large Farmer,5.15,10.84,250000,Yes,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Farm Mechanization / Tractor Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,7.1
RULE0165,Small Holding Advisory Rule for Tenant Farmer Growing Banana,Banana,Andhra Pradesh,Clay Soil,Tenant Farmer,0.7,2.84,100000,Yes,National Food Security Mission (NFSM),Farmer Producer Organisation (FPO) Term Loan,Horticulture Crop Insurance Scheme,6.9
RULE0166,Small Holding Advisory Rule for FPO Member Farmer Growing Wheat,Wheat,All India,Black Soil (Regur),FPO Member Farmer,0.34,10.59,150000,Yes,Rythu Bima Life Insurance Scheme,Farm Mechanization / Tractor Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),5.6
RULE0167,Insurance Recommendation for Mango under Alluvial Soil Conditions,Mango,Telangana,Alluvial Soil,Large Farmer,5.24,10.59,200000,Yes,Rythu Bandhu Investment Support Scheme,Micro Irrigation / Drip & Sprinkler Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),9.5
RULE0168,Irrigation-Linked Scheme Match for Grapes on Saline / Alkaline Soil (Rule Variant 2),Grapes,All India,Saline / Alkaline Soil,Small Farmer,1.31,2.83,300000,Yes,Mission for Integrated Development of Horticulture (MIDH),Solar Pump / Renewable Energy Agri Loan,Private Comprehensive Crop Insurance Plan,6.2
RULE0169,Government Scheme Trigger for Pulses Cultivation in Andhra Pradesh,Pulses,Andhra Pradesh,Laterite Soil,Large Farmer,5.04,10.84,200000,Yes,Telangana Farm Mechanization Scheme,Solar Pump / Renewable Energy Agri Loan,Livestock Insurance Scheme,8.6
RULE0170,Small Holding Advisory Rule for Marginal Farmer Growing Wheat,Wheat,Andhra Pradesh,Sandy Soil,Marginal Farmer,0.18,1.32,,Yes,Telangana Organic Farming Promotion Scheme,Micro Irrigation / Drip & Sprinkler Loan,Horticulture Crop Insurance Scheme,6.1
RULE0171,Insurance Recommendation for Cotton under Sandy Soil Conditions,Cotton,Karnataka,Sandy Soil,Medium Farmer,2.13,5.11,200000,Yes,Rythu Bima Life Insurance Scheme,Solar Pump / Renewable Energy Agri Loan,Horticulture Crop Insurance Scheme,5.8
RULE0172,Priority Scheme Match for Soybean Growers on Laterite Soil in Karnataka,Soybean,Karnataka,Laterite Soil,Sharecropper,0.79,2.01,500000,Yes,Paramparagat Krishi Vikas Yojana (PKVY),Gold Loan for Agricultural Purposes,Livestock Insurance Scheme,7.3
RULE0173,Irrigation-Linked Scheme Match for Paddy on Saline / Alkaline Soil (Rule Variant 2),Paddy,Andhra Pradesh,Saline / Alkaline Soil,Small Farmer,1.07,2.69,250000,Yes,National Livestock Mission,Agri Infrastructure & Cold Storage Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),7.1
RULE0174,Priority Scheme Match for Groundnut Growers on Sandy Soil in Andhra Pradesh,Groundnut,Andhra Pradesh,Sandy Soil,Small Farmer,1.16,2.95,,Yes,Rashtriya Krishi Vikas Yojana (RKVY),Gold Loan for Agricultural Purposes,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,8.7
RULE0175,Insurance Recommendation for All Crops under Alluvial Soil Conditions,All Crops,Telangana,Alluvial Soil,FPO Member Farmer,0.42,10.4,250000,Yes,Telangana Farm Mechanization Scheme,Warehouse Receipt / Post-Harvest Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,6.6
RULE0176,Small Holding Advisory Rule for Medium Farmer Growing Oilseeds,Oilseeds,All India,Black Soil (Regur),Medium Farmer,2.41,5.87,500000,Yes,Micro Irrigation Fund (MIF),Farm Mechanization / Tractor Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,9.2
RULE0177,Government Scheme Trigger for Chickpea (Gram) Cultivation in Andhra Pradesh,Chickpea (Gram),Andhra Pradesh,Alluvial Soil,Large Farmer,5.36,10.55,,Yes,National Mission on Natural Farming (NMNF),Agri Infrastructure & Cold Storage Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,7.1
RULE0178,Subsidy & Credit Pathway for FPO Member Farmer in Telangana,Vegetables,Telangana,Laterite Soil,FPO Member Farmer,0.05,10.28,150000,Yes,National Food Security Mission (NFSM),Gold Loan for Agricultural Purposes,Horticulture Crop Insurance Scheme,9.0
RULE0179,Priority Scheme Match for Sugarcane Growers on Sandy Soil in Andhra Pradesh,Sugarcane,Andhra Pradesh,Sandy Soil,Large Farmer,5.43,10.46,300000,No,Rythu Bandhu Investment Support Scheme,Crop Loan (Seasonal Agricultural Operations),Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,9.7
RULE0180,Subsidy & Credit Pathway for FPO Member Farmer in Karnataka (Rule Variant 2),Millets (Jowar/Bajra),Karnataka,Loamy Soil,FPO Member Farmer,0.09,10.05,100000,Yes,Rythu Bandhu Investment Support Scheme,Agri Infrastructure & Cold Storage Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),5.1
RULE0181,Small Holding Advisory Rule for Medium Farmer Growing Groundnut,Groundnut,Andhra Pradesh,Laterite Soil,Medium Farmer,2.12,5.62,500000,Yes,Mission Kakatiya (Tank Restoration for Irrigation),Solar Pump / Renewable Energy Agri Loan,Horticulture Crop Insurance Scheme,5.3
RULE0182,Priority Scheme Match for Turmeric Growers on Red Soil in Maharashtra,Turmeric,Maharashtra,Red Soil,Tenant Farmer,0.88,2.77,100000,Yes,Pradhan Mantri Matsya Sampada Yojana (PMMSY),Horticulture & Plantation Loan,Livestock Insurance Scheme,6.1
RULE0183,Government Scheme Trigger for Red Gram (Tur Dal) Cultivation in Telangana,Red Gram (Tur Dal),Telangana,Saline / Alkaline Soil,Women Farmer,0.55,3.8,150000,Yes,Rythu Bima Life Insurance Scheme,Solar Pump / Renewable Energy Agri Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,10.0
RULE0184,Insurance Recommendation for Banana under Laterite Soil Conditions,Banana,Andhra Pradesh,Laterite Soil,Large Farmer,5.06,10.15,200000,Yes,Micro Irrigation Fund (MIF),Warehouse Receipt / Post-Harvest Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,5.6
RULE0185,Irrigation-Linked Scheme Match for Wheat on Red Soil,Wheat,Maharashtra,Red Soil,Large Farmer,5.16,10.81,100000,Yes,Soil Health Card Scheme,Gold Loan for Agricultural Purposes,Horticulture Crop Insurance Scheme,9.7
RULE0186,Risk Cover Advisory for Small Farmer on Black Soil (Regur),Turmeric,Maharashtra,Black Soil (Regur),Small Farmer,1.07,2.14,200000,Yes,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Farmer Producer Organisation (FPO) Term Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,7.2
RULE0187,Irrigation-Linked Scheme Match for Soybean on Clay Soil,Soybean,Telangana,Clay Soil,Marginal Farmer,0.03,1.51,100000,Yes,Rythu Bandhu Investment Support Scheme,Farm Mechanization / Tractor Loan,Private Comprehensive Crop Insurance Plan,8.6
RULE0188,Subsidy & Credit Pathway for Medium Farmer in Maharashtra (Rule Variant 2),All Crops,Maharashtra,Laterite Soil,Medium Farmer,2.16,5.67,200000,Yes,Micro Irrigation Fund (MIF),Gold Loan for Agricultural Purposes,Private Comprehensive Crop Insurance Plan,8.6
RULE0189,Subsidy & Credit Pathway for Large Farmer in Andhra Pradesh (Rule Variant 2),Paddy,Andhra Pradesh,Red Soil,Large Farmer,5.08,10.08,200000,Yes,National Food Security Mission (NFSM),Solar Pump / Renewable Energy Agri Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,7.0
