scheme_id,scheme_name,scheme_type,government_level,state,ministry,department,objective,description,beneficiary_type,eligible_crop,eligible_farmer,minimum_land,maximum_land,income_limit,minimum_age,maximum_age,aadhaar_required,bank_account_required,soil_card_required,insurance_required,documents_required,maximum_subsidy,subsidy_percentage,loan_support,interest_subvention,processing_time_days,application_mode,official_portal,priority_score,active_status
SCHM037,Telangana Seed Village Programme,Market Support,Telangana,Telangana,Telangana Department of Agriculture,"Directorate of Agriculture, Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Seed Village Programme' initiative, strengthening market support across Telangana State.","Telangana Seed Village Programme is a telangana-level scheme implemented to promote market support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Dairy Farmer,Millets (Jowar/Bajra),Tenant & Landowning Farmers,1,2,250000,21,60,Yes,Yes,No,Yes,Tenant Farmer Certificate; Encumbrance Certificate; Ration Card; Income Certificate,150000,75,Yes,4% p.a.,60,Online and Offline (CSC),https://agri.telangana.gov.in,9.3,Active
SCHM038,Mission Kakatiya (Tank Restoration for Irrigation),Infrastructure Development,Telangana,Telangana,Telangana Department of Irrigation,"Command Area Development Authority, Telangana","To provide financial and technical support to eligible farmers under the 'Mission Kakatiya (Tank Restoration for Irrigation)' initiative, strengthening infrastructure development across Telangana State.","Mission Kakatiya (Tank Restoration for Irrigation) is a telangana-level scheme implemented to promote infrastructure development, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Dairy Farmer,Paddy,Tenant & Landowning Farmers,0,,300000,18,65,Yes,Yes,No,Yes,Tenant Farmer Certificate; Bank Passbook; Mobile Number linked to Aadhaar; Ration Card,5000,25,Yes,2% p.a.,15,Offline,https://agri.telangana.gov.in,6.9,Active
SCHM039,Telangana Horticulture Mission,Credit Support,Telangana,Telangana,Telangana Department of Cooperation,"Directorate of Marketing & Cooperation, Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Horticulture Mission' initiative, strengthening credit support across Telangana State.","Telangana Horticulture Mission is a telangana-level scheme implemented to promote credit support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Fisherfolk,Groundnut,Small & Marginal Farmers,0,2,250000,21,65,No,Yes,Yes,Yes,Crop Sowing Certificate; Ration Card; Tenant Farmer Certificate; Encumbrance Certificate; Aadhaar Card; Mobile Number linked to Aadhaar; FPO Registration Certificate,200000,100,Yes,3% p.a.,7,Offline,https://agri.telangana.gov.in,9.7,Inactive
SCHM040,Telangana Integrated Cooperative Development Scheme,Interest Subvention,Telangana,Telangana,Telangana Department of Irrigation,"Command Area Development Authority, Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Integrated Cooperative Development Scheme' initiative, strengthening interest subvention across Telangana State.","Telangana Integrated Cooperative Development Scheme is a telangana-level scheme implemented to promote interest subvention, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Any Registered Farmer,Soybean,Sharecroppers with Certificate,0.5,2.5,200000,21,60,Yes,Yes,No,Yes,Mobile Number linked to Aadhaar; Ration Card; Aadhaar Card; Crop Sowing Certificate; Caste Certificate; Encumbrance Certificate,5000,25,Yes,1.5% p.a.,45,Offline,https://agri.telangana.gov.in,9.2,Active
SCHM041,Telangana Sheep Distribution Scheme,Capacity Building,Telangana,Telangana,Telangana Finance Department,Telangana State Cooperative Apex Bank (TSCAB),"To provide financial and technical support to eligible farmers under the 'Telangana Sheep Distribution Scheme' initiative, strengthening capacity building across Telangana State.","Telangana Sheep Distribution Scheme is a telangana-level scheme implemented to promote capacity building, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Fisherfolk,Horticulture Crops,Women-headed Farm Households,0,10,150000,18,60,Yes,Yes,Yes,No,Passport Size Photograph; Income Certificate; Mobile Number linked to Aadhaar; Bank Passbook,8000,50,Yes,None,20,Online,https://agri.telangana.gov.in,6.0,Inactive
SCHM042,Telangana Fisheries Development Scheme (Free Fish Seed),Fisheries Support,Telangana,Telangana,Telangana Department of Horticulture,"Directorate of Horticulture, Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Fisheries Development Scheme (Free Fish Seed)' initiative, strengthening fisheries support across Telangana State.","Telangana Fisheries Development Scheme (Free Fish Seed) is a telangana-level scheme implemented to promote fisheries support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Tenant Farmer,Soybean,Sharecroppers with Certificate,0.5,,150000,18,,Yes,Yes,Yes,Yes,FPO Registration Certificate; Encumbrance Certificate; Voter ID; Income Certificate; Land Passbook / Pattadar Passbook; Caste Certificate; Aadhaar Card,20000,100,Yes,None,15,Online and Offline (CSC),https://agri.telangana.gov.in,8.7,Active
SCHM043,Telangana Dairy Development Cooperative Scheme,Life & Disability Insurance,Telangana,Telangana,Telangana Department of Rural Development,"Society for Elimination of Rural Poverty (SERP), Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Dairy Development Cooperative Scheme' initiative, strengthening life & disability insurance across Telangana State.","Telangana Dairy Development Cooperative Scheme is a telangana-level scheme implemented to promote life & disability insurance, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Marginal Farmer,Turmeric,Sharecroppers with Certificate,0,10,250000,18,65,Yes,Yes,No,Yes,Crop Sowing Certificate; Caste Certificate; Land Passbook / Pattadar Passbook; Bank Passbook; Aadhaar Card; Passport Size Photograph,20000,90,Yes,2% p.a.,10,Online and Offline (CSC),https://agri.telangana.gov.in,5.7,Active
SCHM044,Telangana Organic Farming Promotion Scheme,Infrastructure Development,Telangana,Telangana,Telangana Department of Irrigation,"Command Area Development Authority, Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Organic Farming Promotion Scheme' initiative, strengthening infrastructure development across Telangana State.","Telangana Organic Farming Promotion Scheme is a telangana-level scheme implemented to promote infrastructure development, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Fisherfolk,Red Gram (Tur Dal),Farmers with Valid Land Records,0,7.5,250000,21,70,Yes,Yes,Yes,Yes,Tenant Farmer Certificate; Soil Health Card; Income Certificate; Land Passbook / Pattadar Passbook; Mobile Number linked to Aadhaar; Voter ID; Passport Size Photograph,5000,75,Yes,3% p.a.,7,Offline,https://agri.telangana.gov.in,5.5,Active
SCHM045,Telangana Godown and Cold Storage Subsidy Scheme,Mechanization Subsidy,Telangana,Telangana,Telangana Department of Irrigation,"Command Area Development Authority, Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Godown and Cold Storage Subsidy Scheme' initiative, strengthening mechanization subsidy across Telangana State.","Telangana Godown and Cold Storage Subsidy Scheme is a telangana-level scheme implemented to promote mechanization subsidy, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Small & Marginal Farmer,Millets (Jowar/Bajra),Women-headed Farm Households,0,10,100000,18,65,Yes,Yes,Yes,Yes,Encumbrance Certificate; Passport Size Photograph; Aadhaar Card; Ration Card; Bank Passbook,10000,100,Yes,3% p.a.,7,Online and Offline (CSC),https://agri.telangana.gov.in,9.3,Active
SCHM046,Telangana Farmer Producer Organisation Promotion Scheme,Direct Benefit Transfer,Telangana,Telangana,Telangana Department of Horticulture,"Directorate of Horticulture, Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Farmer Producer Organisation Promotion Scheme' initiative, strengthening direct benefit transfer across Telangana State.","Telangana Farmer Producer Organisation Promotion Scheme is a telangana-level scheme implemented to promote direct benefit transfer, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Fisherfolk,Millets (Jowar/Bajra),Landowning Farmers,0,5,,18,,Yes,Yes,Yes,No,Encumbrance Certificate; Income Certificate; Voter ID; Passport Size Photograph; Land Passbook / Pattadar Passbook; Tenant Farmer Certificate; Soil Health Card,150000,25,Yes,None,45,Online,https://agri.telangana.gov.in,5.3,Active
SCHM047,Telangana Minor Irrigation Tank Rehabilitation Scheme,Livestock Support,Telangana,Telangana,Telangana Department of Rural Development,"Society for Elimination of Rural Poverty (SERP), Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Minor Irrigation Tank Rehabilitation Scheme' initiative, strengthening livestock support across Telangana State.","Telangana Minor Irrigation Tank Rehabilitation Scheme is a telangana-level scheme implemented to promote livestock support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Horticulture Grower,Maize,Sharecroppers with Certificate,1,2,,18,65,Yes,Yes,Yes,Yes,Caste Certificate; Passport Size Photograph; Voter ID; Ration Card; Tenant Farmer Certificate; Mobile Number linked to Aadhaar,150000,75,Yes,None,7,Online and Offline (CSC),https://agri.telangana.gov.in,8.3,Inactive
SCHM048,Telangana Agriculture Mechanization Custom Hiring Centres,Irrigation Support,Telangana,Telangana,Telangana Finance Department,Telangana State Cooperative Apex Bank (TSCAB),"To provide financial and technical support to eligible farmers under the 'Telangana Agriculture Mechanization Custom Hiring Centres' initiative, strengthening irrigation support across Telangana State.","Telangana Agriculture Mechanization Custom Hiring Centres is a telangana-level scheme implemented to promote irrigation support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Sharecropper,Vegetables,Women-headed Farm Households,1,5,200000,21,,Yes,Yes,Yes,No,Crop Sowing Certificate; Ration Card; Income Certificate; Bank Passbook; Tenant Farmer Certificate; Land Passbook / Pattadar Passbook,8000,33,Yes,None,7,Online and Offline (CSC),https://agri.telangana.gov.in,8.7,Active
SCHM049,Telangana Turmeric Board Support Scheme,Price Support,Telangana,Telangana,Telangana Department of Agriculture,"Agriculture Market Committee (AMC), Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Turmeric Board Support Scheme' initiative, strengthening price support across Telangana State.","Telangana Turmeric Board Support Scheme is a telangana-level scheme implemented to promote price support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Horticulture Grower,Maize,Farmers with Valid Land Records,0.5,,200000,18,70,Yes,Yes,Yes,Yes,Bank Passbook; Crop Sowing Certificate; Tenant Farmer Certificate; Soil Health Card; Land Passbook / Pattadar Passbook,25000,100,Yes,2% p.a.,60,Offline,https://agri.telangana.gov.in,7.9,Active
SCHM050,Telangana Millet Mission,Livestock Support,Telangana,Telangana,Telangana Department of Cooperation,"Directorate of Marketing & Cooperation, Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Millet Mission' initiative, strengthening livestock support across Telangana State.","Telangana Millet Mission is a telangana-level scheme implemented to promote livestock support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Fisherfolk,Soybean,Landowning Farmers,0,5,300000,18,70,Yes,Yes,Yes,Yes,Passport Size Photograph; Crop Sowing Certificate; Caste Certificate; Land Passbook / Pattadar Passbook; Bank Passbook,250000,25,Yes,None,30,Online,https://agri.telangana.gov.in,6.9,Active
SCHM051,Telangana Oil Palm Area Expansion Scheme,Infrastructure Development,Telangana,Telangana,"Telangana Department of Animal Husbandry, Dairy Development & Fisheries","Directorate of Fisheries, Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Oil Palm Area Expansion Scheme' initiative, strengthening infrastructure development across Telangana State.","Telangana Oil Palm Area Expansion Scheme is a telangana-level scheme implemented to promote infrastructure development, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Farmer Producer Organisation (FPO),Millets (Jowar/Bajra),Tenant & Landowning Farmers,0,2.5,100000,18,60,Yes,Yes,No,No,Passport Size Photograph; Tenant Farmer Certificate; Caste Certificate; Ration Card; Soil Health Card; Voter ID; Land Passbook / Pattadar Passbook,25000,75,Yes,4% p.a.,45,Online and Offline (CSC),https://agri.telangana.gov.in,8.0,Inactive
SCHM052,Telangana Poly House / Green House Subsidy Scheme,Mechanization Subsidy,Telangana,Telangana,Telangana Department of Horticulture,"Directorate of Horticulture, Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Poly House / Green House Subsidy Scheme' initiative, strengthening mechanization subsidy across Telangana State.","Telangana Poly House / Green House Subsidy Scheme is a telangana-level scheme implemented to promote mechanization subsidy, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Women Farmer,Oilseeds,Landowning Farmers,0,2.5,150000,18,65,Yes,Yes,Yes,Yes,Aadhaar Card; Tenant Farmer Certificate; Mobile Number linked to Aadhaar; Caste Certificate,10000,40,No,None,30,Online and Offline (CSC),https://agri.telangana.gov.in,6.2,Inactive
SCHM053,Telangana Farm Pond Construction Subsidy,Livestock Support,Telangana,Telangana,Telangana Department of Irrigation,"Command Area Development Authority, Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Farm Pond Construction Subsidy' initiative, strengthening livestock support across Telangana State.","Telangana Farm Pond Construction Subsidy is a telangana-level scheme implemented to promote livestock support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Marginal Farmer,Oilseeds,Landowning Farmers,1,2,200000,18,70,No,Yes,No,No,Land Passbook / Pattadar Passbook; Caste Certificate; Aadhaar Card; Income Certificate; Bank Passbook; Tenant Farmer Certificate,250000,60,Yes,None,60,Online,https://agri.telangana.gov.in,6.2,Inactive
SCHM054,Telangana Custom Hiring Centre for Farm Equipment,Input Subsidy,Telangana,Telangana,Telangana Department of Cooperation,"Directorate of Marketing & Cooperation, Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Custom Hiring Centre for Farm Equipment' initiative, strengthening input subsidy across Telangana State.","Telangana Custom Hiring Centre for Farm Equipment is a telangana-level scheme implemented to promote input subsidy, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Sharecropper,Sugarcane,All Categories of Farmers,0,5,100000,18,60,Yes,Yes,Yes,Yes,Soil Health Card; Land Passbook / Pattadar Passbook; Bank Passbook; Ration Card; FPO Registration Certificate,10000,40,Yes,3% p.a.,60,Online and Offline (CSC),https://agri.telangana.gov.in,7.5,Inactive
SCHM055,Telangana Cotton Development Programme,Capacity Building,Telangana,Telangana,Telangana Department of Cooperation,"Directorate of Marketing & Cooperation, Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Cotton Development Programme' initiative, strengthening capacity building across Telangana State.","Telangana Cotton Development Programme is a telangana-level scheme implemented to promote capacity building, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Horticulture Grower,Millets (Jowar/Bajra),All Categories of Farmers,0,7.5,,21,,Yes,Yes,Yes,Yes,Voter ID; Land Passbook / Pattadar Passbook; Ration Card; Tenant Farmer Certificate; Crop Sowing Certificate; Aadhaar Card,5000,60,Yes,2% p.a.,45,Online,https://agri.telangana.gov.in,8.1,Inactive
SCHM056,Digital Agriculture Mission Scheme,Input Subsidy,Central,All India,Ministry of New and Renewable Energy,Department of Renewable Energy Programmes,"To provide financial and technical support to eligible farmers under the 'Digital Agriculture Mission Scheme' initiative, strengthening input subsidy across India.","Digital Agriculture Mission Scheme is a central-level scheme implemented to promote input subsidy, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Agricultural Labourer,Chilli,All Categories of Farmers,1,10,100000,18,,Yes,Yes,Yes,Yes,Aadhaar Card; Soil Health Card; Mobile Number linked to Aadhaar; Tenant Farmer Certificate; Crop Sowing Certificate,100000,100,Yes,4% p.a.,15,Offline,https://agriwelfare.gov.in,6.9,Active
SCHM057,Telangana Farm Pond and Water Conservation Drive,Mechanization Subsidy,Telangana,Telangana,Telangana Department of Cooperation,"Directorate of Marketing & Cooperation, Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Farm Pond and Water Conservation Drive' initiative, strengthening mechanization subsidy across Telangana State.","Telangana Farm Pond and Water Conservation Drive is a telangana-level scheme implemented to promote mechanization subsidy, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Horticulture Grower,Millets (Jowar/Bajra),Tenant & Landowning Farmers,0.5,2,250000,21,70,Yes,Yes,Yes,Yes,Passport Size Photograph; Crop Sowing Certificate; Bank Passbook; Income Certificate,20000,75,Yes,1.5% p.a.,45,Online,https://agri.telangana.gov.in,6.5,Active
SCHM058,Farmer Welfare and Skill Development Programme Scheme,Mechanization Subsidy,Central,All India,"Ministry of Consumer Affairs, Food & Public Distribution",Department of Food & Public Distribution,"To provide financial and technical support to eligible farmers under the 'Farmer Welfare and Skill Development Programme Scheme' initiative, strengthening mechanization subsidy across India.","Farmer Welfare and Skill Development Programme Scheme is a central-level scheme implemented to promote mechanization subsidy, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Horticulture Grower,Not Crop Specific,Tenant & Landowning Farmers,1,10,150000,18,70,Yes,Yes,Yes,Yes,Encumbrance Certificate; Tenant Farmer Certificate; Soil Health Card; Mobile Number linked to Aadhaar; Bank Passbook; Passport Size Photograph,8000,50,Yes,1.5% p.a.,60,Online and Offline (CSC),https://agriwelfare.gov.in,9.2,Inactive
SCHM059,Telangana Agri Export Zone Support Scheme,Direct Benefit Transfer,Telangana,Telangana,Telangana Department of Irrigation,"Command Area Development Authority, Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Agri Export Zone Support Scheme' initiative, strengthening direct benefit transfer across Telangana State.","Telangana Agri Export Zone Support Scheme is a telangana-level scheme implemented to promote direct benefit transfer, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Fisherfolk,Red Gram (Tur Dal),Farmers with Valid Land Records,0,2.5,100000,18,,Yes,Yes,No,Yes,Tenant Farmer Certificate; Passport Size Photograph; Ration Card; FPO Registration Certificate; Soil Health Card,100000,50,Yes,None,60,Online,https://agri.telangana.gov.in,6.8,Inactive
SCHM060,Post-Harvest Loss Reduction Initiative Scheme,Market Support,Central,All India,Ministry of New and Renewable Energy,Department of Renewable Energy Programmes,"To provide financial and technical support to eligible farmers under the 'Post-Harvest Loss Reduction Initiative Scheme' initiative, strengthening market support across India.","Post-Harvest Loss Reduction Initiative Scheme is a central-level scheme implemented to promote market support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Sharecropper,Not Crop Specific,Farmers with Valid Land Records,0,2.5,250000,18,70,Yes,Yes,No,Yes,Mobile Number linked to Aadhaar; Voter ID; Land Passbook / Pattadar Passbook; Ration Card,8000,40,Yes,None,30,Online,https://agriwelfare.gov.in,9.2,Active
SCHM061,Telangana Custom Hiring Centre for Small Farmers,Fisheries Support,Telangana,Telangana,"Telangana Department of Animal Husbandry, Dairy Development & Fisheries","Directorate of Fisheries, Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Custom Hiring Centre for Small Farmers' initiative, strengthening fisheries support across Telangana State.","Telangana Custom Hiring Centre for Small Farmers is a telangana-level scheme implemented to promote fisheries support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Landholding Farmer,All Crops,Farmers with Valid Land Records,0,7.5,250000,18,65,No,Yes,Yes,Yes,Aadhaar Card; Income Certificate; Land Passbook / Pattadar Passbook; Crop Sowing Certificate; Encumbrance Certificate,500000,40,Yes,2% p.a.,15,Offline,https://agri.telangana.gov.in,8.5,Active
SCHM062,Rural Warehousing Modernisation Scheme Scheme,Capacity Building,Central,All India,Ministry of New and Renewable Energy,Department of Renewable Energy Programmes,"To provide financial and technical support to eligible farmers under the 'Rural Warehousing Modernisation Scheme Scheme' initiative, strengthening capacity building across India.","Rural Warehousing Modernisation Scheme Scheme is a central-level scheme implemented to promote capacity building, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Fisherfolk,All Crops,Tenant & Landowning Farmers,0,5,100000,18,,Yes,Yes,Yes,Yes,Land Passbook / Pattadar Passbook; Aadhaar Card; Soil Health Card; Caste Certificate; Passport Size Photograph; Tenant Farmer Certificate,8000,33,No,None,30,Online and Offline (CSC),https://agriwelfare.gov.in,5.1,Inactive
SCHM063,Telangana Village Level Seed Bank Programme,Life & Disability Insurance,Telangana,Telangana,"Telangana Department of Animal Husbandry, Dairy Development & Fisheries","Directorate of Animal Husbandry, Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Village Level Seed Bank Programme' initiative, strengthening life & disability insurance across Telangana State.","Telangana Village Level Seed Bank Programme is a telangana-level scheme implemented to promote life & disability insurance, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Farmer Producer Organisation (FPO),Pulses,Landowning Farmers,0.5,2.5,250000,21,65,Yes,Yes,Yes,Yes,Voter ID; FPO Registration Certificate; Encumbrance Certificate; Mobile Number linked to Aadhaar,100000,25,No,None,60,Offline,https://agri.telangana.gov.in,5.2,Active
SCHM064,Climate Resilient Agriculture Initiative Scheme,Infrastructure Development,Central,All India,Ministry of Finance,Department of Financial Services,"To provide financial and technical support to eligible farmers under the 'Climate Resilient Agriculture Initiative Scheme' initiative, strengthening infrastructure development across India.","Climate Resilient Agriculture Initiative Scheme is a central-level scheme implemented to promote infrastructure development, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Landholding Farmer,Cotton,All Categories of Farmers,0,,300000,18,70,Yes,Yes,Yes,Yes,FPO Registration Certificate; Crop Sowing Certificate; Bank Passbook; Encumbrance Certificate; Tenant Farmer Certificate; Passport Size Photograph,200000,40,Yes,2% p.a.,45,Offline,https://agriwelfare.gov.in,5.2,Active
SCHM065,Telangana Community Irrigation Tank Desilting Programme,Direct Benefit Transfer,Telangana,Telangana,Telangana Finance Department,Telangana State Cooperative Apex Bank (TSCAB),"To provide financial and technical support to eligible farmers under the 'Telangana Community Irrigation Tank Desilting Programme' initiative, strengthening direct benefit transfer across Telangana State.","Telangana Community Irrigation Tank Desilting Programme is a telangana-level scheme implemented to promote direct benefit transfer, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Small & Marginal Farmer,Millets (Jowar/Bajra),FPO Member Farmers,1,10,200000,18,60,Yes,Yes,Yes,Yes,FPO Registration Certificate; Crop Sowing Certificate; Income Certificate; Ration Card,8000,60,No,None,20,Online and Offline (CSC),https://agri.telangana.gov.in,7.2,Active
SCHM066,Watershed Development Component Scheme,Infrastructure Development,Central,All India,"Ministry of Fisheries, Animal Husbandry & Dairying",Department of Animal Husbandry & Dairying,"To provide financial and technical support to eligible farmers under the 'Watershed Development Component Scheme' initiative, strengthening infrastructure development across India.","Watershed Development Component Scheme is a central-level scheme implemented to promote infrastructure development, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Any Registered Farmer,Fruits,All Categories of Farmers,0.5,2,300000,21,60,No,Yes,Yes,Yes,Land Passbook / Pattadar Passbook; FPO Registration Certificate; Income Certificate; Crop Sowing Certificate; Ration Card; Passport Size Photograph,75000,75,Yes,None,20,Offline,https://agriwelfare.gov.in,7.2,Active
SCHM067,Telangana Women Farmer Empowerment Scheme,Life & Disability Insurance,Telangana,Telangana,Telangana Department of Rural Development,"Society for Elimination of Rural Poverty (SERP), Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Women Farmer Empowerment Scheme' initiative, strengthening life & disability insurance across Telangana State.","Telangana Women Farmer Empowerment Scheme is a telangana-level scheme implemented to promote life & disability insurance, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Horticulture Grower,Paddy,Tenant & Landowning Farmers,1,5,250000,18,60,Yes,Yes,No,Yes,Bank Passbook; Land Passbook / Pattadar Passbook; Soil Health Card; Crop Sowing Certificate,25000,60,No,None,30,Online,https://agri.telangana.gov.in,8.0,Active
SCHM068,Custom Hiring Centre Support Scheme Scheme,Infrastructure Development,Central,All India,"Ministry of Consumer Affairs, Food & Public Distribution",Department of Food & Public Distribution,"To provide financial and technical support to eligible farmers under the 'Custom Hiring Centre Support Scheme Scheme' initiative, strengthening infrastructure development across India.","Custom Hiring Centre Support Scheme Scheme is a central-level scheme implemented to promote infrastructure development, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Marginal Farmer,Red Gram (Tur Dal),All Categories of Farmers,1,5,300000,18,65,Yes,Yes,Yes,Yes,Voter ID; Caste Certificate; FPO Registration Certificate; Land Passbook / Pattadar Passbook; Ration Card; Passport Size Photograph; Tenant Farmer Certificate,15000,50,No,None,10,Online,https://agriwelfare.gov.in,5.7,Active
SCHM069,Telangana Kisan Drone Promotion Scheme,Market Support,Telangana,Telangana,"Telangana Department of Animal Husbandry, Dairy Development & Fisheries","Directorate of Fisheries, Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Kisan Drone Promotion Scheme' initiative, strengthening market support across Telangana State.","Telangana Kisan Drone Promotion Scheme is a telangana-level scheme implemented to promote market support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Marginal Farmer,Millets (Jowar/Bajra),All Categories of Farmers,0,10,250000,18,70,Yes,Yes,Yes,Yes,Land Passbook / Pattadar Passbook; Soil Health Card; Bank Passbook; Encumbrance Certificate; Tenant Farmer Certificate,5000,60,Yes,None,60,Online and Offline (CSC),https://agri.telangana.gov.in,5.6,Active
SCHM070,Agri-Startup Innovation Fund Scheme,Subsidy,Central,All India,Ministry of Finance,Department of Financial Services,"To provide financial and technical support to eligible farmers under the 'Agri-Startup Innovation Fund Scheme' initiative, strengthening subsidy across India.","Agri-Startup Innovation Fund Scheme is a central-level scheme implemented to promote subsidy, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Any Registered Farmer,Fruits,Farmers with Valid Land Records,1,10,,18,70,Yes,Yes,No,No,Bank Passbook; Encumbrance Certificate; Voter ID; Crop Sowing Certificate; Passport Size Photograph; FPO Registration Certificate,500000,40,No,None,30,Online,https://agriwelfare.gov.in,9.2,Inactive
SCHM071,Telangana Vegetable Cluster Development Scheme,Crop Insurance,Telangana,Telangana,Telangana Department of Horticulture,"Directorate of Horticulture, Telangana","To provide financial and technical support to eligible farmers under the 'Telangana Vegetable Cluster Development Scheme' initiative, strengthening crop insurance across Telangana State.","Telangana Vegetable Cluster Development Scheme is a telangana-level scheme implemented to promote crop insurance, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Tenant Farmer,Millets (Jowar/Bajra),Women-headed Farm Households,0.5,10,150000,18,70,Yes,Yes,Yes,Yes,Crop Sowing Certificate; Ration Card; Passport Size Photograph; Voter ID; Land Passbook / Pattadar Passbook,100000,40,Yes,3% p.a.,45,Online and Offline (CSC),https://agri.telangana.gov.in,8.6,Inactive
SCHM072,Cold Chain and Value Addition Infrastructure Scheme Scheme,Infrastructure Development,Central,All India,Ministry of Agriculture & Farmers Welfare,Department of Agriculture & Farmers Welfare,"To provide financial and technical support to eligible farmers under the 'Cold Chain and Value Addition Infrastructure Scheme Scheme' initiative, strengthening infrastructure development across India.","Cold Chain and Value Addition Infrastructure Scheme Scheme is a central-level scheme implemented to promote infrastructure development, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Marginal Farmer,Paddy,FPO Member Farmers,0,10,200000,18,,Yes,Yes,Yes,No,Encumbrance Certificate; FPO Registration Certificate; Crop Sowing Certificate; Caste Certificate; Ration Card,75000,33,Yes,3% p.a.,20,Offline,https://agriwelfare.gov.in,7.4,Active
