crop_id,crop_name,season,soil_type,minimum_rainfall,maximum_rainfall,water_requirement,market_category,insurance_available,recommended_schemes,recommended_loans
CROP111,Isabgol (Psyllium),Rabi,Alluvial Soil,700,1100,Medium,Others,Yes,Rashtriya Krishi Vikas Yojana (RKVY); Paramparagat Krishi Vikas Yojana (PKVY),Crop Loan (Seasonal Agricultural Operations); Kisan Credit Card (KCC)
CROP112,Sugar Beet,Rabi,Clay Loam Soil,600,950,Medium,Others,Yes,Rashtriya Krishi Vikas Yojana (RKVY); Paramparagat Krishi Vikas Yojana (PKVY),Crop Loan (Seasonal Agricultural Operations); Kisan Credit Card (KCC)
CROP113,Quinoa,Rabi,Red Soil,600,1200,Medium,Others,No,Rashtriya Krishi Vikas Yojana (RKVY); Paramparagat Krishi Vikas Yojana (PKVY),Crop Loan (Seasonal Agricultural Operations); Kisan Credit Card (KCC)
CROP114,Chia Seed,Rabi,Black Soil (Regur),350,650,Low,Others,No,Rashtriya Krishi Vikas Yojana (RKVY); Paramparagat Krishi Vikas Yojana (PKVY),Crop Loan (Seasonal Agricultural Operations); Kisan Credit Card (KCC)
CROP115,Stevia,Rabi,Laterite Soil,750,1100,Medium,Others,No,Rashtriya Krishi Vikas Yojana (RKVY); Paramparagat Krishi Vikas Yojana (PKVY),Crop Loan (Seasonal Agricultural Operations); Kisan Credit Card (KCC)
CROP116,Aloe Vera,Zaid (Summer),Well-Drained Loamy Soil,850,1150,Medium,Others,No,Rashtriya Krishi Vikas Yojana (RKVY); Paramparagat Krishi Vikas Yojana (PKVY),Crop Loan (Seasonal Agricultural Operations); Kisan Credit Card (KCC)
CROP117,Lemongrass,Rabi,Clay Loam Soil,350,550,Low,Others,Yes,Rashtriya Krishi Vikas Yojana (RKVY); Paramparagat Krishi Vikas Yojana (PKVY),Crop Loan (Seasonal Agricultural Operations); Kisan Credit Card (KCC)
CROP118,Mushroom (Button),Rabi,Sandy Loam Soil,850,1200,Medium,Others,Yes,Rashtriya Krishi Vikas Yojana (RKVY); Paramparagat Krishi Vikas Yojana (PKVY),Crop Loan (Seasonal Agricultural Operations); Kisan Credit Card (KCC)
CROP119,Vanilla,Zaid (Summer),Well-Drained Loamy Soil,450,550,Low,Others,No,Rashtriya Krishi Vikas Yojana (RKVY); Paramparagat Krishi Vikas Yojana (PKVY),Crop Loan (Seasonal Agricultural Operations); Kisan Credit Card (KCC)
CROP120,Betel Leaf (Paan),Rabi,Sandy Loam Soil,800,950,Medium,Others,Yes,Rashtriya Krishi Vikas Yojana (RKVY); Paramparagat Krishi Vikas Yojana (PKVY),Crop Loan (Seasonal Agricultural Operations); Kisan Credit Card (KCC)
