insurance_id,insurance_name,provider,coverage_type,covered_crop,covered_risk,premium_percentage,government_subsidy,claim_period,coverage_amount,documents_required,eligible_farmer,claim_process,district_applicable,priority_score
INS050,Bajaj Allianz Private Crop Protect Plan - Paddy,Bajaj Allianz General Insurance,Comprehensive Private Crop Insurance,Paddy,Fire and Lightning,7.22,0,Within 45 days of Crop Cutting Experiment results,150000,Ear-Tag / Animal Identification Certificate; Livestock Health & Vaccination Certificate; Aadhaar Card; Bank Passbook / Cancelled Cheque; Insurance Proposal Form,All Farmers (Loanee and Non-Loanee),"Claim intimation through insurer app, call centre, or agent within the specified window; assessment via remote sensing/satellite imagery combined with ground verification.",State-wide (All Notified Districts),6.8
INS051,Cholamandalam MS Private Crop Protect Plan - Oilseeds,Cholamandalam MS General Insurance,Comprehensive Private Crop Insurance,Oilseeds,Hailstorm and Cyclone,7.0,0,Within 60 days of claim intimation,75000,Crop Sowing Certificate; Bank Passbook / Cancelled Cheque; Land Ownership / Pattadar Passbook; Village / Revenue Officer Certificate; Passport Size Photograph,Farmers with Registered Livestock and Health Certificate,Farmer submits loss intimation with photographic evidence within 48 hours; insurer surveyor conducts field inspection before claim approval and disbursement.,"Mahbubnagar, Medak, Nalgonda, Nizamabad, Sangareddy",6.8
INS052,ICICI Lombard Private Crop Protect Plan - Paddy,ICICI Lombard General Insurance,Comprehensive Private Crop Insurance,Paddy,Market Price Fluctuation (Add-on),4.81,0,Within 45 days of Crop Cutting Experiment results,75000,Crop Sowing Certificate; Ration Card; Tenant Farmer / Sharecropper Certificate; Livestock Health & Vaccination Certificate; Insurance Proposal Form; Land Ownership / Pattadar Passbook; Bank Passbook / Cancelled Cheque,Farmers with Registered Livestock and Health Certificate,"Claim intimation through insurer app, call centre, or agent within the specified window; assessment via remote sensing/satellite imagery combined with ground verification.",State-wide (All Notified Districts),6.6
INS053,Future Private Crop Protect Plan - Vegetables,Future Generali India Insurance,Comprehensive Private Crop Insurance,Vegetables,Post-Harvest Storage Loss,4.92,10,Within 30 days of yield data finalization,200000,Ration Card; Ear-Tag / Animal Identification Certificate; Land Ownership / Pattadar Passbook; Bank Passbook / Cancelled Cheque; Village / Revenue Officer Certificate,Non-Loanee Farmers (Voluntary Enrolment),Immediate death/loss intimation to insurer or veterinary officer within 24 hours; post-mortem and veterinary certificate required before claim settlement.,State-wide (All Notified Districts),8.0
INS054,Reliance Private Crop Protect Plan - Soybean,Reliance General Insurance,Comprehensive Private Crop Insurance,Soybean,Fire and Lightning,5.03,0,Within 45 days of Crop Cutting Experiment results,150000,Tenant Farmer / Sharecropper Certificate; Ration Card; Land Ownership / Pattadar Passbook; Aadhaar Card,Landowning Farmers with Revenue Records,"Claim intimation through insurer app, call centre, or agent within the specified window; assessment via remote sensing/satellite imagery combined with ground verification.","Jagtial, Mahbubnagar, Nagarkurnool, Siddipet",10.0
INS055,Cholamandalam MS Private Crop Protect Plan - Sugarcane,Cholamandalam MS General Insurance,Comprehensive Private Crop Insurance,Sugarcane,Fire and Lightning,6.77,20,Within 30 days of yield data finalization,30000,Passport Size Photograph; Ear-Tag / Animal Identification Certificate; Tenant Farmer / Sharecropper Certificate; Crop Sowing Certificate; Livestock Health & Vaccination Certificate; Village / Revenue Officer Certificate,Non-Loanee Farmers (Voluntary Enrolment),"Claim intimation through insurer app, call centre, or agent within the specified window; assessment via remote sensing/satellite imagery combined with ground verification.","Adilabad, Jagtial, Khammam, Nalgonda",6.9
INS056,SBI Private Crop Protect Plan - Vegetables,SBI General Insurance,Comprehensive Private Crop Insurance,Vegetables,Fire and Lightning,4.23,0,Within 30 days of yield data finalization,250000,Bank Passbook / Cancelled Cheque; Premium Payment Receipt; Tenant Farmer / Sharecropper Certificate; Land Ownership / Pattadar Passbook; Ration Card,Non-Loanee Farmers (Voluntary Enrolment),"Claim intimation through insurer app, call centre, or agent within the specified window; assessment via remote sensing/satellite imagery combined with ground verification.","Adilabad, Jagtial, Kamareddy",7.4
INS057,Bajaj Allianz Private Crop Protect Plan - Cotton,Bajaj Allianz General Insurance,Comprehensive Private Crop Insurance,Cotton,Hailstorm and Cyclone,5.51,10,Within 45 days of Crop Cutting Experiment results,250000,Land Ownership / Pattadar Passbook; Ear-Tag / Animal Identification Certificate; Livestock Health & Vaccination Certificate; Passport Size Photograph,Farmers with Registered Livestock and Health Certificate,Immediate death/loss intimation to insurer or veterinary officer within 24 hours; post-mortem and veterinary certificate required before claim settlement.,All Districts,7.0
INS058,Cholamandalam MS Private Crop Protect Plan - Horticulture Crops,Cholamandalam MS General Insurance,Comprehensive Private Crop Insurance,Horticulture Crops,Drought and Deficit Rainfall,6.69,0,Within 60 days of claim intimation,150000,Bank Passbook / Cancelled Cheque; Ear-Tag / Animal Identification Certificate; Premium Payment Receipt; Aadhaar Card; Livestock Health & Vaccination Certificate,Sharecroppers and Tenant Farmers with Valid Certificate,Farmer submits loss intimation with photographic evidence within 48 hours; insurer surveyor conducts field inspection before claim approval and disbursement.,"Khammam, Mahbubnagar, Nizamabad, Rangareddy, Sangareddy, Siddipet",5.3
INS059,Reliance Private Crop Protect Plan - Cotton,Reliance General Insurance,Comprehensive Private Crop Insurance,Cotton,Pest and Disease Outbreak,6.07,0,Within 45 days of Crop Cutting Experiment results,250000,Insurance Proposal Form; Passport Size Photograph; Livestock Health & Vaccination Certificate; Ear-Tag / Animal Identification Certificate,Horticulture Growers with Plantation Records,Immediate death/loss intimation to insurer or veterinary officer within 24 hours; post-mortem and veterinary certificate required before claim settlement.,State-wide (All Notified Districts),9.4
INS060,ICICI Lombard Private Crop Protect Plan - Vegetables,ICICI Lombard General Insurance,Comprehensive Private Crop Insurance,Vegetables,Flood and Waterlogging,6.58,0,Within 60 days of claim intimation,200000,Tenant Farmer / Sharecropper Certificate; Insurance Proposal Form; Crop Sowing Certificate; Village / Revenue Officer Certificate; Passport Size Photograph; Bank Passbook / Cancelled Cheque,Horticulture Growers with Plantation Records,Immediate death/loss intimation to insurer or veterinary officer within 24 hours; post-mortem and veterinary certificate required before claim settlement.,State-wide (All Notified Districts),9.5
