subsidy_id,subsidy_name,scheme_name,crop,state,subcategory,maximum_amount,percentage,eligibility,documents,application_process,priority_score
SUB058,Subsidy for Cooperative Society Support (Variant 2),Mission for Integrated Development of Horticulture (MIDH),All Crops,Telangana,FPO & Cooperative Development,170000,33,Available to registered tenant farmers and sharecroppers holding a valid cultivation certificate from the local revenue authority.,Land Ownership / Pattadar Passbook; Previous Subsidy Non-Availment Declaration; Soil Health Card; Quotation from Authorized Dealer,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,7.7
SUB059,Subsidy for Certified Seed,National Mission on Edible Oils - Oil Palm (NMEO-OP),Groundnut,Telangana,Seed & Planting Material,11100,40,"Extended to women farmers, SC/ST farmers, and differently-abled farmers on a priority basis, subject to income limit norms.",Passport Size Photograph; FPO / SHG Registration Certificate; Soil Health Card; Voter ID / Address Proof,"Apply online through the official agriculture department portal, upload required documents, and await field verification before subsidy disbursement to the linked bank account.",9.5
SUB060,Subsidy for Soil Health Card Testing,Telangana Godown and Cold Storage Subsidy Scheme,All Crops,Telangana,Fertilizer & Soil Health,20000,90,Available to small and marginal farmers with valid land records who have not availed a similar subsidy in the last 3 years.,Previous Subsidy Non-Availment Declaration; Voter ID / Address Proof; Tenant Farmer Certificate; Quotation from Authorized Dealer; Bank Passbook / Cancelled Cheque; Land Ownership / Pattadar Passbook; Aadhaar Card,"Apply online through the official agriculture department portal, upload required documents, and await field verification before subsidy disbursement to the linked bank account.",6.1
SUB061,Subsidy for Beekeeping Equipment Kit (Variant 3),Telangana Millet Mission,Not Crop Specific - Apiculture,Telangana,Beekeeping & Apiculture,16000,25,"Extended to women farmers, SC/ST farmers, and differently-abled farmers on a priority basis, subject to income limit norms.",Bank Passbook / Cancelled Cheque; Tenant Farmer Certificate; Caste Certificate; Quotation from Authorized Dealer; Crop Sowing Certificate; FPO / SHG Registration Certificate; Aadhaar Card,"Register on the state seed/subsidy portal, select the desired input or equipment, pay the farmer's contribution share, and receive the subsidy amount post-delivery verification.",8.6
SUB062,Subsidy for Soil Health Card Testing (Variant 2),Telangana Organic Farming Promotion Scheme,Cotton,Telangana,Fertilizer & Soil Health,7250,60,"Open to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organisations (FPOs) engaged in agricultural activity.",Caste Certificate; Passport Size Photograph; Bank Passbook / Cancelled Cheque; Soil Health Card; Quotation from Authorized Dealer; Income Certificate,Submit the application at the nearest Agriculture Extension Office (AEO) or Mandal Agricultural Office along with supporting documents for scrutiny and approval.,7.9
SUB063,Subsidy for Natural Farming Cluster Support,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Millets (Jowar/Bajra),Telangana,Organic & Natural Farming,27500,33,"Open to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organisations (FPOs) engaged in agricultural activity.",Tenant Farmer Certificate; Bank Passbook / Cancelled Cheque; Aadhaar Card; Income Certificate,Submit the application at the nearest Agriculture Extension Office (AEO) or Mandal Agricultural Office along with supporting documents for scrutiny and approval.,5.0
SUB064,Subsidy for Farm Pond Construction (Variant 3),Telangana Horticulture Mission,Not Crop Specific,Telangana,Farm Pond & Water Conservation,72000,33,Available to registered tenant farmers and sharecroppers holding a valid cultivation certificate from the local revenue authority.,Soil Health Card; Passport Size Photograph; Quotation from Authorized Dealer; Crop Sowing Certificate,"Apply online through the official agriculture department portal, upload required documents, and await field verification before subsidy disbursement to the linked bank account.",5.2
SUB065,Subsidy for Certified Seed (Variant 2),Telangana Millet Mission,Groundnut,Telangana,Seed & Planting Material,5900,50,Available to registered tenant farmers and sharecroppers holding a valid cultivation certificate from the local revenue authority.,Voter ID / Address Proof; Aadhaar Card; FPO / SHG Registration Certificate; Bank Passbook / Cancelled Cheque; Income Certificate,Submit the application at the nearest Agriculture Extension Office (AEO) or Mandal Agricultural Office along with supporting documents for scrutiny and approval.,6.5
SUB066,Subsidy for Farm Equipment Bank (Variant 4),National Mission on Natural Farming (NMNF),Maize,Telangana,Custom Hiring Centre,1625000,50,Applicable to farmers with a minimum operational landholding and an active bank account for Direct Benefit Transfer.,Tenant Farmer Certificate; Quotation from Authorized Dealer; Voter ID / Address Proof; Bank Passbook / Cancelled Cheque; Passport Size Photograph; Caste Certificate,"Apply online through the official agriculture department portal, upload required documents, and await field verification before subsidy disbursement to the linked bank account.",9.1
SUB067,Subsidy for Balanced Nutrient Kit (Variant 2),Telangana Millet Mission,Paddy,Telangana,Fertilizer & Soil Health,20000,100,"Applicable to progressive farmers adopting recommended package of practices, verified through field inspection prior to disbursement.",Previous Subsidy Non-Availment Declaration; Voter ID / Address Proof; Income Certificate; Aadhaar Card,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,6.6
SUB068,Subsidy for Plantation Establishment,Telangana Micro Irrigation Project Subsidy,Citrus (Orange/Lemon),Telangana,Horticulture & Plantation,98000,25,"Open to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organisations (FPOs) engaged in agricultural activity.",Bank Passbook / Cancelled Cheque; Tenant Farmer Certificate; Caste Certificate; Passport Size Photograph,"Register on the state seed/subsidy portal, select the desired input or equipment, pay the farmer's contribution share, and receive the subsidy amount post-delivery verification.",6.1
SUB069,Subsidy for Area Expansion Support (Variant 2),National Mission on Edible Oils - Oil Palm (NMEO-OP),Banana,All India,Horticulture & Plantation,46000,40,"Open to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organisations (FPOs) engaged in agricultural activity.",Voter ID / Address Proof; Tenant Farmer Certificate; Passport Size Photograph; Crop Sowing Certificate; Previous Subsidy Non-Availment Declaration; Income Certificate,Submit application via the mobile app or web portal with geo-tagged photographs of the proposed site; disbursement follows technical inspection by the department officer.,9.6
SUB070,Subsidy for Cold Storage Unit,National Livestock Mission,Fruits,All India,Cold Storage & Warehousing,955000,50,Available to registered tenant farmers and sharecroppers holding a valid cultivation certificate from the local revenue authority.,FPO / SHG Registration Certificate; Quotation from Authorized Dealer; Soil Health Card; Voter ID / Address Proof,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,9.9
SUB071,Subsidy for Custom Hiring Centre Setup (Variant 4),National Mission on Natural Farming (NMNF),Maize,All India,Custom Hiring Centre,650000,33,"Extended to women farmers, SC/ST farmers, and differently-abled farmers on a priority basis, subject to income limit norms.",Tenant Farmer Certificate; Passport Size Photograph; FPO / SHG Registration Certificate; Caste Certificate; Crop Sowing Certificate; Quotation from Authorized Dealer; Voter ID / Address Proof,Submit application via the mobile app or web portal with geo-tagged photographs of the proposed site; disbursement follows technical inspection by the department officer.,8.7
SUB072,Subsidy for Water Harvesting Structure,Rashtriya Krishi Vikas Yojana (RKVY),Not Crop Specific,Telangana,Farm Pond & Water Conservation,86000,50,Available to small and marginal farmers with valid land records who have not availed a similar subsidy in the last 3 years.,Aadhaar Card; Quotation from Authorized Dealer; Passport Size Photograph; FPO / SHG Registration Certificate; Voter ID / Address Proof,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,6.8
SUB073,Subsidy for Power Tiller (Variant 2),National Mission on Edible Oils - Oil Palm (NMEO-OP),Cotton,Telangana,Farm Mechanization & Equipment,43750,100,"Extended to women farmers, SC/ST farmers, and differently-abled farmers on a priority basis, subject to income limit norms.",Quotation from Authorized Dealer; Passport Size Photograph; Tenant Farmer Certificate; Bank Passbook / Cancelled Cheque,"Register on the state seed/subsidy portal, select the desired input or equipment, pay the farmer's contribution share, and receive the subsidy amount post-delivery verification.",6.3
SUB074,Subsidy for Grafted Saplings (Variant 2),Telangana Fisheries Development Scheme (Free Fish Seed),Maize,Telangana,Seed & Planting Material,2650,60,Available to small and marginal farmers with valid land records who have not availed a similar subsidy in the last 3 years.,Tenant Farmer Certificate; Land Ownership / Pattadar Passbook; Income Certificate; Passport Size Photograph; Soil Health Card; FPO / SHG Registration Certificate,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,8.1
SUB075,Subsidy for Bee Colony Unit (Variant 3),Sub-Mission on Seed and Planting Material (SMSP),Not Crop Specific - Apiculture,Telangana,Beekeeping & Apiculture,18000,50,Applicable to farmers with a minimum operational landholding and an active bank account for Direct Benefit Transfer.,Land Ownership / Pattadar Passbook; Passport Size Photograph; Crop Sowing Certificate; Bank Passbook / Cancelled Cheque; Voter ID / Address Proof; Caste Certificate; Previous Subsidy Non-Availment Declaration,"Apply online through the official agriculture department portal, upload required documents, and await field verification before subsidy disbursement to the linked bank account.",5.1
SUB076,Subsidy for Solar Water Pump,National Food Security Mission (NFSM),Not Crop Specific,Telangana,Solar & Renewable Energy,250000,100,"Extended to women farmers, SC/ST farmers, and differently-abled farmers on a priority basis, subject to income limit norms.",Land Ownership / Pattadar Passbook; FPO / SHG Registration Certificate; Income Certificate; Crop Sowing Certificate; Quotation from Authorized Dealer; Caste Certificate; Soil Health Card,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,8.6
SUB077,Subsidy for Foundation Seed (Variant 3),Mission for Integrated Development of Horticulture (MIDH),Cotton,All India,Seed & Planting Material,14350,50,"Applicable to progressive farmers adopting recommended package of practices, verified through field inspection prior to disbursement.",Income Certificate; Voter ID / Address Proof; Tenant Farmer Certificate; Land Ownership / Pattadar Passbook; Previous Subsidy Non-Availment Declaration,"Apply online through the official agriculture department portal, upload required documents, and await field verification before subsidy disbursement to the linked bank account.",8.6
SUB078,Subsidy for FPO Equity Grant (Variant 3),Telangana Seed Village Programme,Not Crop Specific,Telangana,FPO & Cooperative Development,1220000,50,Applicable to farmers with a minimum operational landholding and an active bank account for Direct Benefit Transfer.,Voter ID / Address Proof; Aadhaar Card; Previous Subsidy Non-Availment Declaration; Bank Passbook / Cancelled Cheque,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,8.3
SUB079,Subsidy for Sprayer Unit (Variant 2),Telangana Sheep Distribution Scheme,All Crops,Telangana,Farm Mechanization & Equipment,43750,40,"Open to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organisations (FPOs) engaged in agricultural activity.",FPO / SHG Registration Certificate; Income Certificate; Land Ownership / Pattadar Passbook; Voter ID / Address Proof; Passport Size Photograph; Bank Passbook / Cancelled Cheque,Submit application via the mobile app or web portal with geo-tagged photographs of the proposed site; disbursement follows technical inspection by the department officer.,6.3
SUB080,Subsidy for Bio-Fertilizer (Variant 4),Telangana Poly House / Green House Subsidy Scheme,Pulses,Telangana,Fertilizer & Soil Health,4700,60,"Extended to women farmers, SC/ST farmers, and differently-abled farmers on a priority basis, subject to income limit norms.",Tenant Farmer Certificate; Passport Size Photograph; Quotation from Authorized Dealer; Caste Certificate; Income Certificate; Crop Sowing Certificate; Aadhaar Card,Submit the application at the nearest Agriculture Extension Office (AEO) or Mandal Agricultural Office along with supporting documents for scrutiny and approval.,6.3
SUB081,Subsidy for Check Dam Support,Sub-Mission on Seed and Planting Material (SMSP),Not Crop Specific,Telangana,Farm Pond & Water Conservation,58000,25,"Open to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organisations (FPOs) engaged in agricultural activity.",Passport Size Photograph; Soil Health Card; FPO / SHG Registration Certificate; Crop Sowing Certificate; Voter ID / Address Proof,"Register on the state seed/subsidy portal, select the desired input or equipment, pay the farmer's contribution share, and receive the subsidy amount post-delivery verification.",8.4
SUB082,Subsidy for Solar Fencing Unit (Variant 3),PM Kusum Scheme (Solar Pump & Grid Connected Plants),All Crops,All India,Solar & Renewable Energy,140000,90,Applicable to farmers with a minimum operational landholding and an active bank account for Direct Benefit Transfer.,Soil Health Card; Passport Size Photograph; Income Certificate; Land Ownership / Pattadar Passbook; FPO / SHG Registration Certificate,Submit application via the mobile app or web portal with geo-tagged photographs of the proposed site; disbursement follows technical inspection by the department officer.,6.0
SUB083,Subsidy for Fodder Development Unit,National Mission on Natural Farming (NMNF),Not Crop Specific - Buffalo,Telangana,Livestock & Dairy Development,51250,100,"Extended to women farmers, SC/ST farmers, and differently-abled farmers on a priority basis, subject to income limit norms.",Previous Subsidy Non-Availment Declaration; FPO / SHG Registration Certificate; Aadhaar Card; Land Ownership / Pattadar Passbook; Voter ID / Address Proof; Tenant Farmer Certificate; Passport Size Photograph,"Apply online through the official agriculture department portal, upload required documents, and await field verification before subsidy disbursement to the linked bank account.",5.0
SUB084,Subsidy for Sprinkler Irrigation System (Variant 2),Mission for Integrated Development of Horticulture (MIDH),Not Crop Specific,Telangana,Micro Irrigation & Drip/Sprinkler,34500,60,Available to small and marginal farmers with valid land records who have not availed a similar subsidy in the last 3 years.,Crop Sowing Certificate; Land Ownership / Pattadar Passbook; Soil Health Card; Income Certificate; Caste Certificate; Previous Subsidy Non-Availment Declaration,"Register on the state seed/subsidy portal, select the desired input or equipment, pay the farmer's contribution share, and receive the subsidy amount post-delivery verification.",9.9
SUB085,Subsidy for Vermi-Compost Unit (Variant 2),Dairy Entrepreneurship Development Scheme (DEDS),Pulses,All India,Fertilizer & Soil Health,4700,25,Available to registered tenant farmers and sharecroppers holding a valid cultivation certificate from the local revenue authority.,Crop Sowing Certificate; FPO / SHG Registration Certificate; Tenant Farmer Certificate; Quotation from Authorized Dealer; Previous Subsidy Non-Availment Declaration; Passport Size Photograph; Voter ID / Address Proof,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,7.7
SUB086,Subsidy for Bio-Fertilizer (Variant 5),Telangana Farm Pond Construction Subsidy,Pulses,Telangana,Fertilizer & Soil Health,16600,60,Applicable to farmers with a minimum operational landholding and an active bank account for Direct Benefit Transfer.,Land Ownership / Pattadar Passbook; Previous Subsidy Non-Availment Declaration; Aadhaar Card; Tenant Farmer Certificate,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,8.3
SUB087,Subsidy for Fodder Development Unit (Variant 2),Telangana Horticulture Mission,Not Crop Specific - Sheep & Goat,Telangana,Livestock & Dairy Development,25000,60,Available to small and marginal farmers with valid land records who have not availed a similar subsidy in the last 3 years.,FPO / SHG Registration Certificate; Crop Sowing Certificate; Aadhaar Card; Tenant Farmer Certificate; Previous Subsidy Non-Availment Declaration; Bank Passbook / Cancelled Cheque,"Register on the state seed/subsidy portal, select the desired input or equipment, pay the farmer's contribution share, and receive the subsidy amount post-delivery verification.",9.6
SUB088,Subsidy for Drip Irrigation System,Telangana Fisheries Development Scheme (Free Fish Seed),Vegetables,Telangana,Micro Irrigation & Drip/Sprinkler,111000,33,Applicable to farmers with a minimum operational landholding and an active bank account for Direct Benefit Transfer.,Income Certificate; Crop Sowing Certificate; Land Ownership / Pattadar Passbook; FPO / SHG Registration Certificate,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,8.2
SUB089,Subsidy for Drip Irrigation System (Variant 2),Agriculture Infrastructure Fund (AIF),Vegetables,Telangana,Micro Irrigation & Drip/Sprinkler,88500,90,"Open to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organisations (FPOs) engaged in agricultural activity.",Passport Size Photograph; Crop Sowing Certificate; FPO / SHG Registration Certificate; Tenant Farmer Certificate; Previous Subsidy Non-Availment Declaration,"Register on the state seed/subsidy portal, select the desired input or equipment, pay the farmer's contribution share, and receive the subsidy amount post-delivery verification.",5.9
SUB090,Subsidy for Micro-Sprinkler Set (Variant 4),National Food Security Mission (NFSM),Sugarcane,Telangana,Micro Irrigation & Drip/Sprinkler,61500,100,"Open to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organisations (FPOs) engaged in agricultural activity.",Caste Certificate; FPO / SHG Registration Certificate; Crop Sowing Certificate; Tenant Farmer Certificate; Bank Passbook / Cancelled Cheque; Land Ownership / Pattadar Passbook,"Apply online through the official agriculture department portal, upload required documents, and await field verification before subsidy disbursement to the linked bank account.",8.7
SUB091,Subsidy for Grading & Sorting Unit (Variant 3),Paramparagat Krishi Vikas Yojana (PKVY),Chilli,All India,Post-Harvest & Storage Infrastructure,162500,100,Applicable to farmers with a minimum operational landholding and an active bank account for Direct Benefit Transfer.,Voter ID / Address Proof; Tenant Farmer Certificate; Quotation from Authorized Dealer; Caste Certificate; Land Ownership / Pattadar Passbook; Aadhaar Card,Submit application via the mobile app or web portal with geo-tagged photographs of the proposed site; disbursement follows technical inspection by the department officer.,8.5
SUB092,Subsidy for Hybrid Seed Mini-Kit (Variant 2),Telangana Seed Village Programme,Paddy,Telangana,Seed & Planting Material,2650,40,"Applicable to progressive farmers adopting recommended package of practices, verified through field inspection prior to disbursement.",Voter ID / Address Proof; Quotation from Authorized Dealer; Income Certificate; Soil Health Card,Submit the application at the nearest Agriculture Extension Office (AEO) or Mandal Agricultural Office along with supporting documents for scrutiny and approval.,9.0
SUB093,Subsidy for Soil Health Card Testing (Variant 3),"Formation and Promotion of 10,000 FPOs Scheme",Maize,All India,Fertilizer & Soil Health,14900,50,Available to small and marginal farmers with valid land records who have not availed a similar subsidy in the last 3 years.,FPO / SHG Registration Certificate; Previous Subsidy Non-Availment Declaration; Crop Sowing Certificate; Soil Health Card; Land Ownership / Pattadar Passbook; Caste Certificate; Quotation from Authorized Dealer,Submit application via the mobile app or web portal with geo-tagged photographs of the proposed site; disbursement follows technical inspection by the department officer.,6.8
SUB094,Subsidy for Poly House / Green House (Variant 2),Telangana Micro Irrigation Project Subsidy,Turmeric,Telangana,Horticulture & Plantation,65500,100,Available to registered tenant farmers and sharecroppers holding a valid cultivation certificate from the local revenue authority.,Soil Health Card; Bank Passbook / Cancelled Cheque; Quotation from Authorized Dealer; FPO / SHG Registration Certificate; Passport Size Photograph; Crop Sowing Certificate,"Register on the state seed/subsidy portal, select the desired input or equipment, pay the farmer's contribution share, and receive the subsidy amount post-delivery verification.",6.0
SUB095,Subsidy for Dairy Shed Construction (Variant 3),Mission for Integrated Development of Horticulture (MIDH),Not Crop Specific - Sheep & Goat,All India,Livestock & Dairy Development,130000,33,"Extended to women farmers, SC/ST farmers, and differently-abled farmers on a priority basis, subject to income limit norms.",Caste Certificate; Crop Sowing Certificate; Passport Size Photograph; Soil Health Card,Submit the application at the nearest Agriculture Extension Office (AEO) or Mandal Agricultural Office along with supporting documents for scrutiny and approval.,7.6
SUB096,Subsidy for Combine Harvester,Rythu Bandhu Investment Support Scheme,Cotton,Telangana,Farm Mechanization & Equipment,25000,25,"Applicable to progressive farmers adopting recommended package of practices, verified through field inspection prior to disbursement.",Soil Health Card; Voter ID / Address Proof; Previous Subsidy Non-Availment Declaration; Caste Certificate,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,7.6
SUB097,Subsidy for Plantation Establishment (Variant 2),Telangana Horticulture Mission,Banana,Telangana,Horticulture & Plantation,91500,90,"Applicable to progressive farmers adopting recommended package of practices, verified through field inspection prior to disbursement.",Tenant Farmer Certificate; Quotation from Authorized Dealer; Land Ownership / Pattadar Passbook; Soil Health Card; Income Certificate; Crop Sowing Certificate; Bank Passbook / Cancelled Cheque,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,6.3
SUB098,Subsidy for Water Harvesting Structure (Variant 2),Telangana Sheep Distribution Scheme,Not Crop Specific,Telangana,Farm Pond & Water Conservation,44000,60,"Extended to women farmers, SC/ST farmers, and differently-abled farmers on a priority basis, subject to income limit norms.",Tenant Farmer Certificate; Passport Size Photograph; Income Certificate; FPO / SHG Registration Certificate; Bank Passbook / Cancelled Cheque,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,6.1
SUB099,Subsidy for Balanced Nutrient Kit (Variant 3),Telangana Micro Irrigation Project Subsidy,Pulses,Telangana,Fertilizer & Soil Health,19150,25,"Extended to women farmers, SC/ST farmers, and differently-abled farmers on a priority basis, subject to income limit norms.",Caste Certificate; Crop Sowing Certificate; Tenant Farmer Certificate; FPO / SHG Registration Certificate; Bank Passbook / Cancelled Cheque,Submit the application at the nearest Agriculture Extension Office (AEO) or Mandal Agricultural Office along with supporting documents for scrutiny and approval.,8.6
SUB100,Subsidy for Area Expansion Support (Variant 3),National Mission on Edible Oils - Oil Palm (NMEO-OP),Vegetables,Telangana,Horticulture & Plantation,117500,25,Applicable to farmers with a minimum operational landholding and an active bank account for Direct Benefit Transfer.,Passport Size Photograph; Quotation from Authorized Dealer; Tenant Farmer Certificate; Voter ID / Address Proof; Caste Certificate; Previous Subsidy Non-Availment Declaration; FPO / SHG Registration Certificate,"Apply online through the official agriculture department portal, upload required documents, and await field verification before subsidy disbursement to the linked bank account.",8.0
