loan_id,bank_name,loan_name,loan_type,interest_rate,minimum_interest,maximum_interest,loan_amount_min,loan_amount_max,repayment_years,processing_fee,collateral_required,crop_specific,equipment_supported,livestock_supported,working_capital,maximum_subsidy,government_linked,approval_days,required_documents,eligibility_summary,loan_score
LOAN061,Indian Bank,Indian Bank Kisan Credit Card,Kisan Credit Card (KCC),4.19% - 7.49% p.a.,4.19,7.49,30000,250000,1,Nil,No,No,No,No,Yes,10000,Yes,10,Existing Loan Statement (if any); Collateral / Security Documents; Land Ownership / Pattadar Passbook; Bank Statement (6 months); Quotation of Equipment / Machinery; Crop Sowing Certificate; No Dues Certificate from other Banks; Passport Size Photographs,"Applicable to small and marginal farmers, women farmer groups, and registered producer organisations.",6.5
LOAN062,Indian Bank,Indian Bank Crop Production Loan,Crop Loan (Seasonal Agricultural Operations),6.52% - 9.83% p.a.,6.52,9.83,25000,500000,2,0.25% of loan amount,No,Groundnut,No,No,Yes,75000,Yes,7,Passport Size Photographs; Existing Loan Statement (if any); Voter ID / Address Proof; Bank Statement (6 months); Collateral / Security Documents; No Dues Certificate from other Banks; PAN Card,"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",6.5
LOAN063,Indian Bank,Indian Bank Tractor & Farm Equipment Loan,Farm Mechanization / Tractor Loan,7.89% - 11.93% p.a.,7.89,11.93,160000,1050000,3,"Flat INR 1,000",Yes,No,Yes,No,No,0,No,20,KCC Application Form; Voter ID / Address Proof; Bank Statement (6 months); PAN Card; Collateral / Security Documents; Aadhaar Card,Available to landholding and tenant farmers with valid land records and satisfactory repayment history.,5.5
LOAN064,Indian Bank,Indian Bank Dairy Development Loan,Dairy & Livestock Development Loan,7.19% - 10.42% p.a.,7.19,10.42,95000,775000,3,1.50% of loan amount,No,No,No,Yes,Yes,15000,Yes,3,Bank Statement (6 months); No Dues Certificate from other Banks; Existing Loan Statement (if any); Voter ID / Address Proof; PAN Card,Applicable to farmers with a minimum operational landholding and an active bank account for disbursement.,7.7
LOAN065,Indian Bank,Indian Bank Micro Irrigation Finance Scheme,Micro Irrigation / Drip & Sprinkler Loan,7.34% - 10.2% p.a.,7.34,10.2,90000,300000,3,Nil (Govt. Linked Scheme),No,No,Yes,No,No,75000,Yes,15,Bank Statement (6 months); Aadhaar Card; Income Proof; Quotation of Equipment / Machinery; Land Ownership / Pattadar Passbook; Existing Loan Statement (if any); PAN Card,Applicable to farmers with a minimum operational landholding and an active bank account for disbursement.,5.7
LOAN066,Indian Bank,Indian Bank Warehouse Receipt Finance,Warehouse Receipt / Post-Harvest Loan,8.62% - 11.44% p.a.,8.62,11.44,50000,1500000,2,Nil (Govt. Linked Scheme),Yes,Turmeric,No,No,Yes,0,No,15,PAN Card; Bank Statement (6 months); Aadhaar Card; Collateral / Security Documents; KCC Application Form; No Dues Certificate from other Banks; Quotation of Equipment / Machinery,"Available to farmers, agri-entrepreneurs, and cooperative members meeting the bank's minimum credit score norms.",5.9
LOAN067,Indian Bank,Indian Bank Horticulture Development Loan,Horticulture & Plantation Loan,7.45% - 10.66% p.a.,7.45,10.66,150000,1850000,6,Nil (Govt. Linked Scheme),Yes,Sugarcane,No,No,No,50000,Yes,20,Passport Size Photographs; Quotation of Equipment / Machinery; Voter ID / Address Proof; Crop Sowing Certificate; Aadhaar Card; Existing Loan Statement (if any); Income Proof; Collateral / Security Documents,Applicable to farmers with a minimum operational landholding and an active bank account for disbursement.,7.3
LOAN068,Indian Bank,Indian Bank FPO Business Development Loan,Farmer Producer Organisation (FPO) Term Loan,8.76% - 12.32% p.a.,8.76,12.32,455000,3150000,6,"Flat INR 1,000",Yes,No,Yes,No,Yes,100000,Yes,25,Aadhaar Card; Crop Sowing Certificate; Land Ownership / Pattadar Passbook; Existing Loan Statement (if any); PAN Card; KCC Application Form,"Available to farmers, agri-entrepreneurs, and cooperative members meeting the bank's minimum credit score norms.",8.0
LOAN069,Indian Bank,Indian Bank Solar Agri Pump Finance Scheme,Solar Pump / Renewable Energy Agri Loan,6.43% - 9.83% p.a.,6.43,9.83,70000,500000,3,"Flat INR 2,500",No,No,Yes,No,No,15000,Yes,10,No Dues Certificate from other Banks; Voter ID / Address Proof; Income Proof; KCC Application Form; Land Ownership / Pattadar Passbook,"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",7.0
LOAN070,Indian Bank,Indian Bank Agri Gold Loan,Gold Loan for Agricultural Purposes,6.83% - 9.88% p.a.,6.83,9.88,15000,2150000,2,"Flat INR 1,000",Yes,No,No,No,Yes,0,No,15,Land Ownership / Pattadar Passbook; Aadhaar Card; Collateral / Security Documents; Income Proof; Existing Loan Statement (if any); Crop Sowing Certificate; KCC Application Form,"Applicable to small and marginal farmers, women farmer groups, and registered producer organisations.",8.2
LOAN071,Indian Bank,Indian Bank Fisheries Development Loan,Fisheries & Aquaculture Loan,7.66% - 10.37% p.a.,7.66,10.37,85000,1325000,7,1.00% of loan amount,No,No,No,Yes,Yes,150000,Yes,10,No Dues Certificate from other Banks; Bank Statement (6 months); Aadhaar Card; Crop Sowing Certificate; KCC Application Form; Land Ownership / Pattadar Passbook,"Available to farmers, agri-entrepreneurs, and cooperative members meeting the bank's minimum credit score norms.",7.0
LOAN072,Indian Bank,Indian Bank Agri Infrastructure Finance Scheme,Agri Infrastructure & Cold Storage Loan,7.82% - 11.48% p.a.,7.82,11.48,620000,5250000,13,Nil (Govt. Linked Scheme),Yes,No,Yes,No,No,10000,Yes,20,Crop Sowing Certificate; No Dues Certificate from other Banks; Collateral / Security Documents; KCC Application Form; Passport Size Photographs,"Applicable to small and marginal farmers, women farmer groups, and registered producer organisations.",7.3
LOAN073,HDFC Bank,HDFC Bank Kisan Credit Card,Kisan Credit Card (KCC),4.04% - 7.07% p.a.,4.04,7.07,35000,225000,5,0.25% of loan amount,No,No,No,No,Yes,15000,Yes,3,No Dues Certificate from other Banks; Collateral / Security Documents; Existing Loan Statement (if any); Bank Statement (6 months); Quotation of Equipment / Machinery,Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,8.9
LOAN074,HDFC Bank,HDFC Bank Crop Production Loan,Crop Loan (Seasonal Agricultural Operations),6.48% - 9.38% p.a.,6.48,9.38,55000,350000,1,Nil,No,Sugarcane,No,No,Yes,25000,Yes,10,PAN Card; Collateral / Security Documents; KCC Application Form; Quotation of Equipment / Machinery; Aadhaar Card; No Dues Certificate from other Banks; Income Proof,"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",5.9
LOAN075,HDFC Bank,HDFC Bank Tractor & Farm Equipment Loan,Farm Mechanization / Tractor Loan,8.12% - 11.83% p.a.,8.12,11.83,260000,850000,3,"Flat INR 2,500",Yes,No,Yes,No,No,0,No,25,Aadhaar Card; PAN Card; No Dues Certificate from other Banks; Existing Loan Statement (if any); Bank Statement (6 months); Land Ownership / Pattadar Passbook,"Available to farmers, agri-entrepreneurs, and cooperative members meeting the bank's minimum credit score norms.",6.7
LOAN076,HDFC Bank,HDFC Bank Dairy Development Loan,Dairy & Livestock Development Loan,7.16% - 10.85% p.a.,7.16,10.85,60000,550000,5,"Flat INR 2,500",No,No,No,Yes,Yes,150000,Yes,7,Income Proof; No Dues Certificate from other Banks; Passport Size Photographs; Collateral / Security Documents; Land Ownership / Pattadar Passbook; Quotation of Equipment / Machinery,Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,9.6
LOAN077,HDFC Bank,HDFC Bank Micro Irrigation Finance Scheme,Micro Irrigation / Drip & Sprinkler Loan,7.49% - 10.19% p.a.,7.49,10.19,75000,700000,4,1.50% of loan amount,No,No,Yes,No,No,25000,Yes,3,Land Ownership / Pattadar Passbook; Crop Sowing Certificate; Voter ID / Address Proof; Passport Size Photographs; Income Proof; Existing Loan Statement (if any),"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",8.9
LOAN078,HDFC Bank,HDFC Bank Warehouse Receipt Finance,Warehouse Receipt / Post-Harvest Loan,8.38% - 11.33% p.a.,8.38,11.33,55000,2000000,2,"Flat INR 1,000",Yes,Pulses,No,No,Yes,0,No,30,Passport Size Photographs; KCC Application Form; Quotation of Equipment / Machinery; Crop Sowing Certificate; Income Proof,Applicable to farmers with a minimum operational landholding and an active bank account for disbursement.,7.1
LOAN079,HDFC Bank,HDFC Bank Horticulture Development Loan,Horticulture & Plantation Loan,7.43% - 10.36% p.a.,7.43,10.36,100000,2200000,6,"Flat INR 1,000",Yes,Maize,No,No,No,15000,Yes,30,Passport Size Photographs; KCC Application Form; Voter ID / Address Proof; Quotation of Equipment / Machinery; Income Proof,"Applicable to small and marginal farmers, women farmer groups, and registered producer organisations.",5.5
LOAN080,HDFC Bank,HDFC Bank FPO Business Development Loan,Farmer Producer Organisation (FPO) Term Loan,8.77% - 11.86% p.a.,8.77,11.86,395000,4000000,9,"Flat INR 1,000",Yes,No,Yes,No,Yes,75000,Yes,20,Land Ownership / Pattadar Passbook; Collateral / Security Documents; Bank Statement (6 months); No Dues Certificate from other Banks; Aadhaar Card,Available to landholding and tenant farmers with valid land records and satisfactory repayment history.,5.7
LOAN081,HDFC Bank,HDFC Bank Solar Agri Pump Finance Scheme,Solar Pump / Renewable Energy Agri Loan,6.53% - 9.48% p.a.,6.53,9.48,130000,775000,7,1.00% of loan amount,No,No,Yes,No,No,50000,Yes,15,No Dues Certificate from other Banks; Land Ownership / Pattadar Passbook; Bank Statement (6 months); Income Proof; Collateral / Security Documents; Existing Loan Statement (if any); PAN Card,Available to landholding and tenant farmers with valid land records and satisfactory repayment history.,9.5
LOAN082,HDFC Bank,HDFC Bank Agri Gold Loan,Gold Loan for Agricultural Purposes,6.87% - 9.86% p.a.,6.87,9.86,15000,2100000,3,1.00% of loan amount,Yes,No,No,No,Yes,0,No,20,Voter ID / Address Proof; Passport Size Photographs; Aadhaar Card; Quotation of Equipment / Machinery; KCC Application Form; Income Proof; Existing Loan Statement (if any); Collateral / Security Documents,Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,7.4
LOAN083,HDFC Bank,HDFC Bank Fisheries Development Loan,Fisheries & Aquaculture Loan,7.72% - 10.8% p.a.,7.72,10.8,85000,950000,3,0.50% of loan amount,No,No,No,Yes,Yes,10000,Yes,15,Crop Sowing Certificate; Land Ownership / Pattadar Passbook; Bank Statement (6 months); Existing Loan Statement (if any); Aadhaar Card,Available to landholding and tenant farmers with valid land records and satisfactory repayment history.,5.6
LOAN084,HDFC Bank,HDFC Bank Agri Infrastructure Finance Scheme,Agri Infrastructure & Cold Storage Loan,8.03% - 11.46% p.a.,8.03,11.46,590000,7625000,8,"Flat INR 2,500",Yes,No,Yes,No,No,75000,Yes,30,No Dues Certificate from other Banks; Land Ownership / Pattadar Passbook; KCC Application Form; Passport Size Photographs; PAN Card; Voter ID / Address Proof; Income Proof; Aadhaar Card,"Applicable to small and marginal farmers, women farmer groups, and registered producer organisations.",8.9
LOAN085,ICICI Bank,ICICI Bank Kisan Credit Card,Kisan Credit Card (KCC),4.11% - 6.75% p.a.,4.11,6.75,40000,275000,4,Nil,No,No,No,No,Yes,100000,Yes,10,Bank Statement (6 months); PAN Card; Passport Size Photographs; Voter ID / Address Proof; Aadhaar Card; Existing Loan Statement (if any),Applicable to farmers with a minimum operational landholding and an active bank account for disbursement.,9.3
LOAN086,ICICI Bank,ICICI Bank Crop Production Loan,Crop Loan (Seasonal Agricultural Operations),6.71% - 9.96% p.a.,6.71,9.96,40000,475000,1,0.25% of loan amount,No,Pulses,No,No,Yes,100000,Yes,10,Passport Size Photographs; Quotation of Equipment / Machinery; Bank Statement (6 months); PAN Card; KCC Application Form; Aadhaar Card; No Dues Certificate from other Banks,Applicable to farmers with a minimum operational landholding and an active bank account for disbursement.,9.4
LOAN087,ICICI Bank,ICICI Bank Tractor & Farm Equipment Loan,Farm Mechanization / Tractor Loan,8.17% - 11.4% p.a.,8.17,11.4,150000,1375000,5,1.00% of loan amount,Yes,No,Yes,No,No,0,No,25,No Dues Certificate from other Banks; Bank Statement (6 months); Crop Sowing Certificate; KCC Application Form; Collateral / Security Documents; Voter ID / Address Proof; Quotation of Equipment / Machinery,Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,8.5
LOAN088,ICICI Bank,ICICI Bank Dairy Development Loan,Dairy & Livestock Development Loan,7.18% - 10.58% p.a.,7.18,10.58,60000,950000,5,1.00% of loan amount,No,No,No,Yes,Yes,50000,Yes,15,No Dues Certificate from other Banks; Land Ownership / Pattadar Passbook; Existing Loan Statement (if any); Aadhaar Card; Voter ID / Address Proof,Available to landholding and tenant farmers with valid land records and satisfactory repayment history.,6.0
LOAN089,ICICI Bank,ICICI Bank Micro Irrigation Finance Scheme,Micro Irrigation / Drip & Sprinkler Loan,7.71% - 10.01% p.a.,7.71,10.01,40000,300000,3,0.50% of loan amount,No,No,Yes,No,No,15000,Yes,3,Existing Loan Statement (if any); Aadhaar Card; PAN Card; No Dues Certificate from other Banks; Income Proof,"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",9.0
LOAN090,ICICI Bank,ICICI Bank Warehouse Receipt Finance,Warehouse Receipt / Post-Harvest Loan,8.66% - 11.42% p.a.,8.66,11.42,60000,1600000,1,1.00% of loan amount,Yes,Maize,No,No,Yes,0,No,15,Aadhaar Card; Voter ID / Address Proof; Quotation of Equipment / Machinery; PAN Card; Passport Size Photographs,"Available to farmers, agri-entrepreneurs, and cooperative members meeting the bank's minimum credit score norms.",5.9
LOAN091,ICICI Bank,ICICI Bank Horticulture Development Loan,Horticulture & Plantation Loan,7.3% - 10.82% p.a.,7.3,10.82,80000,1450000,10,1.50% of loan amount,Yes,Chilli,No,No,No,25000,Yes,10,Passport Size Photographs; Voter ID / Address Proof; Aadhaar Card; Income Proof; No Dues Certificate from other Banks; Collateral / Security Documents; Crop Sowing Certificate,Applicable to farmers with a minimum operational landholding and an active bank account for disbursement.,8.2
LOAN092,ICICI Bank,ICICI Bank FPO Business Development Loan,Farmer Producer Organisation (FPO) Term Loan,8.77% - 12.06% p.a.,8.77,12.06,335000,3650000,4,1.50% of loan amount,Yes,No,Yes,No,Yes,50000,Yes,10,Existing Loan Statement (if any); PAN Card; No Dues Certificate from other Banks; Passport Size Photographs; Land Ownership / Pattadar Passbook; Crop Sowing Certificate,Available to landholding and tenant farmers with valid land records and satisfactory repayment history.,7.8
LOAN093,ICICI Bank,ICICI Bank Solar Agri Pump Finance Scheme,Solar Pump / Renewable Energy Agri Loan,6.39% - 9.81% p.a.,6.39,9.81,55000,500000,5,"Flat INR 1,000",No,No,Yes,No,No,10000,Yes,10,Collateral / Security Documents; No Dues Certificate from other Banks; Income Proof; KCC Application Form; Passport Size Photographs; Land Ownership / Pattadar Passbook,Applicable to farmers with a minimum operational landholding and an active bank account for disbursement.,9.0
LOAN094,ICICI Bank,ICICI Bank Agri Gold Loan,Gold Loan for Agricultural Purposes,7.22% - 9.92% p.a.,7.22,9.92,20000,2175000,3,0.50% of loan amount,Yes,No,No,No,Yes,0,No,25,Quotation of Equipment / Machinery; Income Proof; Existing Loan Statement (if any); PAN Card; Crop Sowing Certificate,"Available to farmers, agri-entrepreneurs, and cooperative members meeting the bank's minimum credit score norms.",9.3
LOAN095,ICICI Bank,ICICI Bank Fisheries Development Loan,Fisheries & Aquaculture Loan,7.62% - 10.57% p.a.,7.62,10.57,150000,725000,5,1.00% of loan amount,No,No,No,Yes,Yes,25000,Yes,7,KCC Application Form; Voter ID / Address Proof; Land Ownership / Pattadar Passbook; Crop Sowing Certificate; Bank Statement (6 months); Collateral / Security Documents; PAN Card; Passport Size Photographs,Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,8.7
LOAN096,ICICI Bank,ICICI Bank Agri Infrastructure Finance Scheme,Agri Infrastructure & Cold Storage Loan,8.13% - 11.23% p.a.,8.13,11.23,720000,8700000,10,"Flat INR 2,500",Yes,No,Yes,No,No,15000,Yes,25,Land Ownership / Pattadar Passbook; Collateral / Security Documents; Existing Loan Statement (if any); Passport Size Photographs; Bank Statement (6 months); Voter ID / Address Proof; Quotation of Equipment / Machinery,"Available to farmers, agri-entrepreneurs, and cooperative members meeting the bank's minimum credit score norms.",8.3
LOAN097,Axis Bank,Axis Bank Kisan Credit Card,Kisan Credit Card (KCC),4.1% - 7.13% p.a.,4.1,7.13,30000,200000,5,Nil,No,No,No,No,Yes,100000,Yes,5,Existing Loan Statement (if any); Income Proof; No Dues Certificate from other Banks; KCC Application Form; Voter ID / Address Proof; Land Ownership / Pattadar Passbook,"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",6.9
LOAN098,Axis Bank,Axis Bank Crop Production Loan,Crop Loan (Seasonal Agricultural Operations),6.34% - 9.98% p.a.,6.34,9.98,75000,225000,1,0.50% of loan amount,No,Cotton,No,No,Yes,15000,Yes,10,Land Ownership / Pattadar Passbook; Passport Size Photographs; Existing Loan Statement (if any); Crop Sowing Certificate; Quotation of Equipment / Machinery; Bank Statement (6 months),Available to landholding and tenant farmers with valid land records and satisfactory repayment history.,8.2
LOAN099,Axis Bank,Axis Bank Tractor & Farm Equipment Loan,Farm Mechanization / Tractor Loan,7.8% - 11.4% p.a.,7.8,11.4,220000,1150000,3,0.50% of loan amount,Yes,No,Yes,No,No,0,No,25,Existing Loan Statement (if any); Bank Statement (6 months); KCC Application Form; Passport Size Photographs; Collateral / Security Documents; Aadhaar Card; PAN Card; Land Ownership / Pattadar Passbook,Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,8.7
LOAN100,Axis Bank,Axis Bank Dairy Development Loan,Dairy & Livestock Development Loan,6.75% - 10.43% p.a.,6.75,10.43,90000,950000,7,Nil (Govt. Linked Scheme),No,No,No,Yes,Yes,100000,Yes,10,Quotation of Equipment / Machinery; Existing Loan Statement (if any); Voter ID / Address Proof; No Dues Certificate from other Banks; Bank Statement (6 months); Land Ownership / Pattadar Passbook,"Applicable to small and marginal farmers, women farmer groups, and registered producer organisations.",6.0
LOAN101,Axis Bank,Axis Bank Micro Irrigation Finance Scheme,Micro Irrigation / Drip & Sprinkler Loan,7.47% - 9.94% p.a.,7.47,9.94,85000,375000,6,1.00% of loan amount,No,No,Yes,No,No,150000,Yes,10,Passport Size Photographs; Crop Sowing Certificate; Collateral / Security Documents; Quotation of Equipment / Machinery; Aadhaar Card; Existing Loan Statement (if any),Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,8.4
LOAN102,Axis Bank,Axis Bank Warehouse Receipt Finance,Warehouse Receipt / Post-Harvest Loan,8.72% - 10.89% p.a.,8.72,10.89,150000,1500000,1,"Flat INR 1,000",Yes,Soybean,No,No,Yes,0,No,10,Passport Size Photographs; KCC Application Form; Bank Statement (6 months); Land Ownership / Pattadar Passbook; Quotation of Equipment / Machinery,Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,7.0
LOAN103,Axis Bank,Axis Bank Horticulture Development Loan,Horticulture & Plantation Loan,7.67% - 10.59% p.a.,7.67,10.59,80000,2125000,12,"Flat INR 2,500",Yes,Paddy,No,No,No,100000,Yes,20,Crop Sowing Certificate; Existing Loan Statement (if any); Collateral / Security Documents; Bank Statement (6 months); Land Ownership / Pattadar Passbook; Voter ID / Address Proof; Passport Size Photographs,Available to landholding and tenant farmers with valid land records and satisfactory repayment history.,8.6
LOAN104,Axis Bank,Axis Bank FPO Business Development Loan,Farmer Producer Organisation (FPO) Term Loan,9.06% - 12.23% p.a.,9.06,12.23,280000,2875000,9,"Flat INR 1,000",Yes,No,Yes,No,Yes,10000,Yes,10,Crop Sowing Certificate; Voter ID / Address Proof; Quotation of Equipment / Machinery; Income Proof; Passport Size Photographs,Available to landholding and tenant farmers with valid land records and satisfactory repayment history.,6.5
LOAN105,Axis Bank,Axis Bank Solar Agri Pump Finance Scheme,Solar Pump / Renewable Energy Agri Loan,6.62% - 9.95% p.a.,6.62,9.95,130000,675000,6,"Flat INR 1,000",No,No,Yes,No,No,15000,Yes,5,Voter ID / Address Proof; PAN Card; Quotation of Equipment / Machinery; Bank Statement (6 months); Collateral / Security Documents; No Dues Certificate from other Banks,"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",7.0
LOAN106,Axis Bank,Axis Bank Agri Gold Loan,Gold Loan for Agricultural Purposes,7.07% - 10.36% p.a.,7.07,10.36,40000,2725000,2,"Flat INR 2,500",Yes,No,No,No,Yes,0,No,15,Income Proof; Bank Statement (6 months); Passport Size Photographs; Crop Sowing Certificate; Quotation of Equipment / Machinery; No Dues Certificate from other Banks; Voter ID / Address Proof; PAN Card,"Available to farmers, agri-entrepreneurs, and cooperative members meeting the bank's minimum credit score norms.",5.5
LOAN107,Axis Bank,Axis Bank Fisheries Development Loan,Fisheries & Aquaculture Loan,7.61% - 10.46% p.a.,7.61,10.46,85000,1175000,5,"Flat INR 1,000",No,No,No,Yes,Yes,50000,Yes,10,Quotation of Equipment / Machinery; Income Proof; Land Ownership / Pattadar Passbook; Passport Size Photographs; Crop Sowing Certificate,Available to landholding and tenant farmers with valid land records and satisfactory repayment history.,5.9
LOAN108,Axis Bank,Axis Bank Agri Infrastructure Finance Scheme,Agri Infrastructure & Cold Storage Loan,8.03% - 10.99% p.a.,8.03,10.99,585000,8375000,10,Nil (Govt. Linked Scheme),Yes,No,Yes,No,No,75000,Yes,10,Bank Statement (6 months); PAN Card; Quotation of Equipment / Machinery; Passport Size Photographs; No Dues Certificate from other Banks,Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,5.9
LOAN109,IDBI Bank,IDBI Bank Kisan Credit Card,Kisan Credit Card (KCC),3.82% - 6.93% p.a.,3.82,6.93,45000,200000,2,Nil,No,No,No,No,Yes,50000,Yes,15,No Dues Certificate from other Banks; Existing Loan Statement (if any); Voter ID / Address Proof; PAN Card; KCC Application Form; Passport Size Photographs,"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",7.6
LOAN110,IDBI Bank,IDBI Bank Crop Production Loan,Crop Loan (Seasonal Agricultural Operations),6.36% - 9.31% p.a.,6.36,9.31,55000,450000,1,0.50% of loan amount,No,Cotton,No,No,Yes,25000,Yes,10,Land Ownership / Pattadar Passbook; Collateral / Security Documents; Existing Loan Statement (if any); KCC Application Form; Aadhaar Card; Quotation of Equipment / Machinery,"Available to farmers, agri-entrepreneurs, and cooperative members meeting the bank's minimum credit score norms.",9.4
LOAN111,IDBI Bank,IDBI Bank Tractor & Farm Equipment Loan,Farm Mechanization / Tractor Loan,8.1% - 11.43% p.a.,8.1,11.43,150000,1225000,7,Nil (Govt. Linked Scheme),Yes,No,Yes,No,No,0,No,10,Income Proof; Collateral / Security Documents; No Dues Certificate from other Banks; Existing Loan Statement (if any); Passport Size Photographs; Quotation of Equipment / Machinery,Applicable to farmers with a minimum operational landholding and an active bank account for disbursement.,7.3
LOAN112,IDBI Bank,IDBI Bank Dairy Development Loan,Dairy & Livestock Development Loan,7.25% - 10.76% p.a.,7.25,10.76,50000,1000000,5,Nil (Govt. Linked Scheme),No,No,No,Yes,Yes,100000,Yes,3,No Dues Certificate from other Banks; Aadhaar Card; Quotation of Equipment / Machinery; Income Proof; PAN Card,Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,7.6
LOAN113,IDBI Bank,IDBI Bank Micro Irrigation Finance Scheme,Micro Irrigation / Drip & Sprinkler Loan,7.63% - 9.86% p.a.,7.63,9.86,45000,625000,4,1.50% of loan amount,No,No,Yes,No,No,10000,Yes,7,Collateral / Security Documents; KCC Application Form; Existing Loan Statement (if any); Bank Statement (6 months); Passport Size Photographs; Crop Sowing Certificate; Land Ownership / Pattadar Passbook,"Available to farmers, agri-entrepreneurs, and cooperative members meeting the bank's minimum credit score norms.",6.6
LOAN114,IDBI Bank,IDBI Bank Warehouse Receipt Finance,Warehouse Receipt / Post-Harvest Loan,8.28% - 10.97% p.a.,8.28,10.97,105000,1775000,2,1.50% of loan amount,Yes,Pulses,No,No,Yes,0,No,20,Bank Statement (6 months); Quotation of Equipment / Machinery; Collateral / Security Documents; PAN Card; Income Proof; Voter ID / Address Proof; Land Ownership / Pattadar Passbook,"Applicable to small and marginal farmers, women farmer groups, and registered producer organisations.",6.8
LOAN115,IDBI Bank,IDBI Bank Horticulture Development Loan,Horticulture & Plantation Loan,7.54% - 10.73% p.a.,7.54,10.73,55000,1625000,11,"Flat INR 2,500",Yes,Horticulture Crops,No,No,No,10000,Yes,25,PAN Card; Aadhaar Card; Existing Loan Statement (if any); Bank Statement (6 months); Collateral / Security Documents; Quotation of Equipment / Machinery; Crop Sowing Certificate,Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,9.4
LOAN116,IDBI Bank,IDBI Bank FPO Business Development Loan,Farmer Producer Organisation (FPO) Term Loan,9.06% - 12.21% p.a.,9.06,12.21,400000,4150000,4,1.00% of loan amount,Yes,No,Yes,No,Yes,10000,Yes,25,PAN Card; Quotation of Equipment / Machinery; Land Ownership / Pattadar Passbook; Aadhaar Card; Crop Sowing Certificate; Voter ID / Address Proof,"Applicable to small and marginal farmers, women farmer groups, and registered producer organisations.",5.6
LOAN117,IDBI Bank,IDBI Bank Solar Agri Pump Finance Scheme,Solar Pump / Renewable Energy Agri Loan,6.69% - 9.35% p.a.,6.69,9.35,95000,925000,8,1.50% of loan amount,No,No,Yes,No,No,150000,Yes,7,Crop Sowing Certificate; Aadhaar Card; Income Proof; Existing Loan Statement (if any); Voter ID / Address Proof; No Dues Certificate from other Banks,"Available to farmers, agri-entrepreneurs, and cooperative members meeting the bank's minimum credit score norms.",7.9
LOAN118,IDBI Bank,IDBI Bank Agri Gold Loan,Gold Loan for Agricultural Purposes,6.77% - 9.84% p.a.,6.77,9.84,40000,2900000,3,"Flat INR 1,000",Yes,No,No,No,Yes,0,No,25,Aadhaar Card; Quotation of Equipment / Machinery; Crop Sowing Certificate; No Dues Certificate from other Banks; Land Ownership / Pattadar Passbook,"Available to farmers, agri-entrepreneurs, and cooperative members meeting the bank's minimum credit score norms.",8.8
LOAN119,IDBI Bank,IDBI Bank Fisheries Development Loan,Fisheries & Aquaculture Loan,7.52% - 10.31% p.a.,7.52,10.31,125000,1025000,4,Nil (Govt. Linked Scheme),No,No,No,Yes,Yes,10000,Yes,10,Aadhaar Card; Quotation of Equipment / Machinery; Existing Loan Statement (if any); PAN Card; No Dues Certificate from other Banks,"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",9.2
LOAN120,IDBI Bank,IDBI Bank Agri Infrastructure Finance Scheme,Agri Infrastructure & Cold Storage Loan,7.81% - 10.76% p.a.,7.81,10.76,960000,8625000,8,"Flat INR 1,000",Yes,No,Yes,No,No,100000,Yes,15,Income Proof; Existing Loan Statement (if any); Land Ownership / Pattadar Passbook; PAN Card; Passport Size Photographs,"Applicable to small and marginal farmers, women farmer groups, and registered producer organisations.",7.9
