rule_id,condition_json,recommended_scheme,recommended_loan,recommended_insurance,priority,confidence,reason
133,"{""state"": ""Punjab"", ""crop"": ""Groundnut"", ""land_acres"": ""5-10 Acres"", ""income_inr"": ""300000-500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), PM Krishi Sinchai Yojana, National Food Security Mission (NFSM)","Kisan Credit Card (KCC), Crop Loan, Farm Mechanization Loan",Pradhan Mantri Fasal Bima Yojana (PMFBY),3,0.85,"Farmer in Punjab cultivating Groundnut with land holding 5-10 Acres and annual income 300000-500000 INR falls into the 'semi-medium' farmer segment. Groundnut is a priority crop under PMFBY in Punjab, warranting crop insurance coverage."
134,"{""state"": ""Punjab"", ""crop"": ""Groundnut"", ""land_acres"": "">10 Acres"", ""income_inr"": "">500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), Agriculture Infrastructure Fund, e-NAM Registration, National Food Security Mission (NFSM)","Kisan Credit Card (KCC), Crop Loan, Warehouse Receipt Financing, Tractor / Farm Equipment Loan, NABARD Refinance - Land Development Loan",Pradhan Mantri Fasal Bima Yojana (PMFBY),4,0.94,"Farmer in Punjab cultivating Groundnut with land holding >10 Acres and annual income >500000 INR falls into the 'large' farmer segment. Groundnut is a priority crop under PMFBY in Punjab, warranting crop insurance coverage. Larger land holding and higher income support infrastructure and mechanization financing."
135,"{""state"": ""Punjab"", ""crop"": ""Groundnut"", ""land_acres"": ""<5 Acres"", ""income_inr"": ""<300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, National Food Security Mission (NFSM)","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)",Pradhan Mantri Fasal Bima Yojana (PMFBY),1,0.81,"Farmer in Punjab cultivating Groundnut with land holding <5 Acres and annual income <300000 INR falls into the 'small-marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Groundnut is a priority crop under PMFBY in Punjab, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
136,"{""state"": ""Punjab"", ""crop"": ""Pulses"", ""land_acres"": ""<2 Acres"", ""income_inr"": ""<200000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, National Food Security Mission (NFSM)","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)",Pradhan Mantri Fasal Bima Yojana (PMFBY),1,0.95,"Farmer in Punjab cultivating Pulses with land holding <2 Acres and annual income <200000 INR falls into the 'marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Pulses is a priority crop under PMFBY in Punjab, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
137,"{""state"": ""Punjab"", ""crop"": ""Pulses"", ""land_acres"": ""2-5 Acres"", ""income_inr"": ""200000-300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, National Food Security Mission (NFSM)","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)",Pradhan Mantri Fasal Bima Yojana (PMFBY),2,0.83,"Farmer in Punjab cultivating Pulses with land holding 2-5 Acres and annual income 200000-300000 INR falls into the 'small' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Pulses is a priority crop under PMFBY in Punjab, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
138,"{""state"": ""Punjab"", ""crop"": ""Pulses"", ""land_acres"": ""5-10 Acres"", ""income_inr"": ""300000-500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), PM Krishi Sinchai Yojana, National Food Security Mission (NFSM)","Kisan Credit Card (KCC), Crop Loan, Farm Mechanization Loan",Pradhan Mantri Fasal Bima Yojana (PMFBY),3,0.81,"Farmer in Punjab cultivating Pulses with land holding 5-10 Acres and annual income 300000-500000 INR falls into the 'semi-medium' farmer segment. Pulses is a priority crop under PMFBY in Punjab, warranting crop insurance coverage."
139,"{""state"": ""Punjab"", ""crop"": ""Pulses"", ""land_acres"": "">10 Acres"", ""income_inr"": "">500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), Agriculture Infrastructure Fund, e-NAM Registration, National Food Security Mission (NFSM)","Kisan Credit Card (KCC), Crop Loan, Warehouse Receipt Financing, Tractor / Farm Equipment Loan, NABARD Refinance - Land Development Loan",Pradhan Mantri Fasal Bima Yojana (PMFBY),4,0.83,"Farmer in Punjab cultivating Pulses with land holding >10 Acres and annual income >500000 INR falls into the 'large' farmer segment. Pulses is a priority crop under PMFBY in Punjab, warranting crop insurance coverage. Larger land holding and higher income support infrastructure and mechanization financing."
140,"{""state"": ""Punjab"", ""crop"": ""Pulses"", ""land_acres"": ""<5 Acres"", ""income_inr"": ""<300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, National Food Security Mission (NFSM)","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)",Pradhan Mantri Fasal Bima Yojana (PMFBY),1,0.85,"Farmer in Punjab cultivating Pulses with land holding <5 Acres and annual income <300000 INR falls into the 'small-marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Pulses is a priority crop under PMFBY in Punjab, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
141,"{""state"": ""Punjab"", ""crop"": ""Vegetables"", ""land_acres"": ""<2 Acres"", ""income_inr"": ""<200000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, Mission for Integrated Development of Horticulture (MIDH)","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Unified Package Insurance Scheme (UPIS), Restructured Weather Based Crop Insurance Scheme",1,0.84,Farmer in Punjab cultivating Vegetables with land holding <2 Acres and annual income <200000 INR falls into the 'marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Low collateral base suggests gold-backed lending as an accessible credit option.
142,"{""state"": ""Punjab"", ""crop"": ""Vegetables"", ""land_acres"": ""2-5 Acres"", ""income_inr"": ""200000-300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, Mission for Integrated Development of Horticulture (MIDH)","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Unified Package Insurance Scheme (UPIS), Restructured Weather Based Crop Insurance Scheme",2,0.82,Farmer in Punjab cultivating Vegetables with land holding 2-5 Acres and annual income 200000-300000 INR falls into the 'small' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Low collateral base suggests gold-backed lending as an accessible credit option.
143,"{""state"": ""Punjab"", ""crop"": ""Vegetables"", ""land_acres"": ""5-10 Acres"", ""income_inr"": ""300000-500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), PM Krishi Sinchai Yojana, Mission for Integrated Development of Horticulture (MIDH)","Kisan Credit Card (KCC), Crop Loan, Farm Mechanization Loan","Unified Package Insurance Scheme (UPIS), Restructured Weather Based Crop Insurance Scheme",3,0.93,Farmer in Punjab cultivating Vegetables with land holding 5-10 Acres and annual income 300000-500000 INR falls into the 'semi-medium' farmer segment.
144,"{""state"": ""Punjab"", ""crop"": ""Vegetables"", ""land_acres"": "">10 Acres"", ""income_inr"": "">500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), Agriculture Infrastructure Fund, e-NAM Registration, Mission for Integrated Development of Horticulture (MIDH)","Kisan Credit Card (KCC), Crop Loan, Warehouse Receipt Financing, Tractor / Farm Equipment Loan, NABARD Refinance - Land Development Loan","Unified Package Insurance Scheme (UPIS), Restructured Weather Based Crop Insurance Scheme",4,0.85,Farmer in Punjab cultivating Vegetables with land holding >10 Acres and annual income >500000 INR falls into the 'large' farmer segment. Larger land holding and higher income support infrastructure and mechanization financing.
145,"{""state"": ""Punjab"", ""crop"": ""Vegetables"", ""land_acres"": ""<5 Acres"", ""income_inr"": ""<300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, Mission for Integrated Development of Horticulture (MIDH)","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Unified Package Insurance Scheme (UPIS), Restructured Weather Based Crop Insurance Scheme",1,0.82,Farmer in Punjab cultivating Vegetables with land holding <5 Acres and annual income <300000 INR falls into the 'small-marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Low collateral base suggests gold-backed lending as an accessible credit option.
146,"{""state"": ""Punjab"", ""crop"": ""Fruits"", ""land_acres"": ""<2 Acres"", ""income_inr"": ""<200000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, Mission for Integrated Development of Horticulture (MIDH)","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Unified Package Insurance Scheme (UPIS), Restructured Weather Based Crop Insurance Scheme",1,0.94,Farmer in Punjab cultivating Fruits with land holding <2 Acres and annual income <200000 INR falls into the 'marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Low collateral base suggests gold-backed lending as an accessible credit option.
147,"{""state"": ""Punjab"", ""crop"": ""Fruits"", ""land_acres"": ""2-5 Acres"", ""income_inr"": ""200000-300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, Mission for Integrated Development of Horticulture (MIDH)","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Unified Package Insurance Scheme (UPIS), Restructured Weather Based Crop Insurance Scheme",2,0.8,Farmer in Punjab cultivating Fruits with land holding 2-5 Acres and annual income 200000-300000 INR falls into the 'small' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Low collateral base suggests gold-backed lending as an accessible credit option.
148,"{""state"": ""Punjab"", ""crop"": ""Fruits"", ""land_acres"": ""5-10 Acres"", ""income_inr"": ""300000-500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), PM Krishi Sinchai Yojana, Mission for Integrated Development of Horticulture (MIDH)","Kisan Credit Card (KCC), Crop Loan, Farm Mechanization Loan","Unified Package Insurance Scheme (UPIS), Restructured Weather Based Crop Insurance Scheme",3,0.83,Farmer in Punjab cultivating Fruits with land holding 5-10 Acres and annual income 300000-500000 INR falls into the 'semi-medium' farmer segment.
149,"{""state"": ""Punjab"", ""crop"": ""Fruits"", ""land_acres"": "">10 Acres"", ""income_inr"": "">500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), Agriculture Infrastructure Fund, e-NAM Registration, Mission for Integrated Development of Horticulture (MIDH)","Kisan Credit Card (KCC), Crop Loan, Warehouse Receipt Financing, Tractor / Farm Equipment Loan, NABARD Refinance - Land Development Loan","Unified Package Insurance Scheme (UPIS), Restructured Weather Based Crop Insurance Scheme",4,0.84,Farmer in Punjab cultivating Fruits with land holding >10 Acres and annual income >500000 INR falls into the 'large' farmer segment. Larger land holding and higher income support infrastructure and mechanization financing.
150,"{""state"": ""Punjab"", ""crop"": ""Fruits"", ""land_acres"": ""<5 Acres"", ""income_inr"": ""<300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, Mission for Integrated Development of Horticulture (MIDH)","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Unified Package Insurance Scheme (UPIS), Restructured Weather Based Crop Insurance Scheme",1,0.78,Farmer in Punjab cultivating Fruits with land holding <5 Acres and annual income <300000 INR falls into the 'small-marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Low collateral base suggests gold-backed lending as an accessible credit option.
151,"{""state"": ""Haryana"", ""crop"": ""Cotton"", ""land_acres"": ""<2 Acres"", ""income_inr"": ""<200000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS)",1,0.77,"Farmer in Haryana cultivating Cotton with land holding <2 Acres and annual income <200000 INR falls into the 'marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Cotton is a priority crop under PMFBY in Haryana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
152,"{""state"": ""Haryana"", ""crop"": ""Cotton"", ""land_acres"": ""2-5 Acres"", ""income_inr"": ""200000-300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS)",2,0.92,"Farmer in Haryana cultivating Cotton with land holding 2-5 Acres and annual income 200000-300000 INR falls into the 'small' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Cotton is a priority crop under PMFBY in Haryana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
153,"{""state"": ""Haryana"", ""crop"": ""Cotton"", ""land_acres"": ""5-10 Acres"", ""income_inr"": ""300000-500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), PM Krishi Sinchai Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), Crop Loan, Farm Mechanization Loan","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS)",3,0.9,"Farmer in Haryana cultivating Cotton with land holding 5-10 Acres and annual income 300000-500000 INR falls into the 'semi-medium' farmer segment. Cotton is a priority crop under PMFBY in Haryana, warranting crop insurance coverage."
154,"{""state"": ""Haryana"", ""crop"": ""Cotton"", ""land_acres"": "">10 Acres"", ""income_inr"": "">500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), Agriculture Infrastructure Fund, e-NAM Registration, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), Crop Loan, Warehouse Receipt Financing, Tractor / Farm Equipment Loan, NABARD Refinance - Land Development Loan","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS)",4,0.82,"Farmer in Haryana cultivating Cotton with land holding >10 Acres and annual income >500000 INR falls into the 'large' farmer segment. Cotton is a priority crop under PMFBY in Haryana, warranting crop insurance coverage. Larger land holding and higher income support infrastructure and mechanization financing."
155,"{""state"": ""Haryana"", ""crop"": ""Cotton"", ""land_acres"": ""<5 Acres"", ""income_inr"": ""<300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS)",1,0.85,"Farmer in Haryana cultivating Cotton with land holding <5 Acres and annual income <300000 INR falls into the 'small-marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Cotton is a priority crop under PMFBY in Haryana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
156,"{""state"": ""Haryana"", ""crop"": ""Rice"", ""land_acres"": ""<2 Acres"", ""income_inr"": ""<200000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)",Pradhan Mantri Fasal Bima Yojana (PMFBY),1,0.84,"Farmer in Haryana cultivating Rice with land holding <2 Acres and annual income <200000 INR falls into the 'marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Rice is a priority crop under PMFBY in Haryana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
157,"{""state"": ""Haryana"", ""crop"": ""Rice"", ""land_acres"": ""2-5 Acres"", ""income_inr"": ""200000-300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)",Pradhan Mantri Fasal Bima Yojana (PMFBY),2,0.94,"Farmer in Haryana cultivating Rice with land holding 2-5 Acres and annual income 200000-300000 INR falls into the 'small' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Rice is a priority crop under PMFBY in Haryana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
158,"{""state"": ""Haryana"", ""crop"": ""Rice"", ""land_acres"": ""5-10 Acres"", ""income_inr"": ""300000-500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), PM Krishi Sinchai Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), Crop Loan, Farm Mechanization Loan",Pradhan Mantri Fasal Bima Yojana (PMFBY),3,0.93,"Farmer in Haryana cultivating Rice with land holding 5-10 Acres and annual income 300000-500000 INR falls into the 'semi-medium' farmer segment. Rice is a priority crop under PMFBY in Haryana, warranting crop insurance coverage."
159,"{""state"": ""Haryana"", ""crop"": ""Rice"", ""land_acres"": "">10 Acres"", ""income_inr"": "">500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), Agriculture Infrastructure Fund, e-NAM Registration, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), Crop Loan, Warehouse Receipt Financing, Tractor / Farm Equipment Loan, NABARD Refinance - Land Development Loan",Pradhan Mantri Fasal Bima Yojana (PMFBY),4,0.95,"Farmer in Haryana cultivating Rice with land holding >10 Acres and annual income >500000 INR falls into the 'large' farmer segment. Rice is a priority crop under PMFBY in Haryana, warranting crop insurance coverage. Larger land holding and higher income support infrastructure and mechanization financing."
160,"{""state"": ""Haryana"", ""crop"": ""Rice"", ""land_acres"": ""<5 Acres"", ""income_inr"": ""<300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)",Pradhan Mantri Fasal Bima Yojana (PMFBY),1,0.95,"Farmer in Haryana cultivating Rice with land holding <5 Acres and annual income <300000 INR falls into the 'small-marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Rice is a priority crop under PMFBY in Haryana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
161,"{""state"": ""Haryana"", ""crop"": ""Wheat"", ""land_acres"": ""<2 Acres"", ""income_inr"": ""<200000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)",Pradhan Mantri Fasal Bima Yojana (PMFBY),1,0.87,"Farmer in Haryana cultivating Wheat with land holding <2 Acres and annual income <200000 INR falls into the 'marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Wheat is a priority crop under PMFBY in Haryana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
162,"{""state"": ""Haryana"", ""crop"": ""Wheat"", ""land_acres"": ""2-5 Acres"", ""income_inr"": ""200000-300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)",Pradhan Mantri Fasal Bima Yojana (PMFBY),2,0.89,"Farmer in Haryana cultivating Wheat with land holding 2-5 Acres and annual income 200000-300000 INR falls into the 'small' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Wheat is a priority crop under PMFBY in Haryana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
163,"{""state"": ""Haryana"", ""crop"": ""Wheat"", ""land_acres"": ""5-10 Acres"", ""income_inr"": ""300000-500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), PM Krishi Sinchai Yojana","Kisan Credit Card (KCC), Crop Loan, Farm Mechanization Loan",Pradhan Mantri Fasal Bima Yojana (PMFBY),3,0.85,"Farmer in Haryana cultivating Wheat with land holding 5-10 Acres and annual income 300000-500000 INR falls into the 'semi-medium' farmer segment. Wheat is a priority crop under PMFBY in Haryana, warranting crop insurance coverage."
164,"{""state"": ""Haryana"", ""crop"": ""Wheat"", ""land_acres"": "">10 Acres"", ""income_inr"": "">500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), Agriculture Infrastructure Fund, e-NAM Registration","Kisan Credit Card (KCC), Crop Loan, Warehouse Receipt Financing, Tractor / Farm Equipment Loan, NABARD Refinance - Land Development Loan",Pradhan Mantri Fasal Bima Yojana (PMFBY),4,0.86,"Farmer in Haryana cultivating Wheat with land holding >10 Acres and annual income >500000 INR falls into the 'large' farmer segment. Wheat is a priority crop under PMFBY in Haryana, warranting crop insurance coverage. Larger land holding and higher income support infrastructure and mechanization financing."
165,"{""state"": ""Haryana"", ""crop"": ""Wheat"", ""land_acres"": ""<5 Acres"", ""income_inr"": ""<300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)",Pradhan Mantri Fasal Bima Yojana (PMFBY),1,0.93,"Farmer in Haryana cultivating Wheat with land holding <5 Acres and annual income <300000 INR falls into the 'small-marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Wheat is a priority crop under PMFBY in Haryana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
166,"{""state"": ""Haryana"", ""crop"": ""Sugarcane"", ""land_acres"": ""<2 Acres"", ""income_inr"": ""<200000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS)",1,0.89,"Farmer in Haryana cultivating Sugarcane with land holding <2 Acres and annual income <200000 INR falls into the 'marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Sugarcane is a priority crop under PMFBY in Haryana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
167,"{""state"": ""Haryana"", ""crop"": ""Sugarcane"", ""land_acres"": ""2-5 Acres"", ""income_inr"": ""200000-300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS)",2,0.79,"Farmer in Haryana cultivating Sugarcane with land holding 2-5 Acres and annual income 200000-300000 INR falls into the 'small' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Sugarcane is a priority crop under PMFBY in Haryana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
168,"{""state"": ""Haryana"", ""crop"": ""Sugarcane"", ""land_acres"": ""5-10 Acres"", ""income_inr"": ""300000-500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), PM Krishi Sinchai Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), Crop Loan, Farm Mechanization Loan","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS)",3,0.88,"Farmer in Haryana cultivating Sugarcane with land holding 5-10 Acres and annual income 300000-500000 INR falls into the 'semi-medium' farmer segment. Sugarcane is a priority crop under PMFBY in Haryana, warranting crop insurance coverage."
169,"{""state"": ""Haryana"", ""crop"": ""Sugarcane"", ""land_acres"": "">10 Acres"", ""income_inr"": "">500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), Agriculture Infrastructure Fund, e-NAM Registration, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), Crop Loan, Warehouse Receipt Financing, Tractor / Farm Equipment Loan, NABARD Refinance - Land Development Loan","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS)",4,0.77,"Farmer in Haryana cultivating Sugarcane with land holding >10 Acres and annual income >500000 INR falls into the 'large' farmer segment. Sugarcane is a priority crop under PMFBY in Haryana, warranting crop insurance coverage. Larger land holding and higher income support infrastructure and mechanization financing."
170,"{""state"": ""Haryana"", ""crop"": ""Sugarcane"", ""land_acres"": ""<5 Acres"", ""income_inr"": ""<300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS)",1,0.85,"Farmer in Haryana cultivating Sugarcane with land holding <5 Acres and annual income <300000 INR falls into the 'small-marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Sugarcane is a priority crop under PMFBY in Haryana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
171,"{""state"": ""Haryana"", ""crop"": ""Soybean"", ""land_acres"": ""<2 Acres"", ""income_inr"": ""<200000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, National Food Security Mission (NFSM)","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)",Pradhan Mantri Fasal Bima Yojana (PMFBY),1,0.88,"Farmer in Haryana cultivating Soybean with land holding <2 Acres and annual income <200000 INR falls into the 'marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Soybean is a priority crop under PMFBY in Haryana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
172,"{""state"": ""Haryana"", ""crop"": ""Soybean"", ""land_acres"": ""2-5 Acres"", ""income_inr"": ""200000-300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, National Food Security Mission (NFSM)","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)",Pradhan Mantri Fasal Bima Yojana (PMFBY),2,0.8,"Farmer in Haryana cultivating Soybean with land holding 2-5 Acres and annual income 200000-300000 INR falls into the 'small' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Soybean is a priority crop under PMFBY in Haryana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option."
173,"{""state"": ""Haryana"", ""crop"": ""Soybean"", ""land_acres"": ""5-10 Acres"", ""income_inr"": ""300000-500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), PM Krishi Sinchai Yojana, National Food Security Mission (NFSM)","Kisan Credit Card (KCC), Crop Loan, Farm Mechanization Loan",Pradhan Mantri Fasal Bima Yojana (PMFBY),3,0.76,"Farmer in Haryana cultivating Soybean with land holding 5-10 Acres and annual income 300000-500000 INR falls into the 'semi-medium' farmer segment. Soybean is a priority crop under PMFBY in Haryana, warranting crop insurance coverage."
